['air', 'india', 'aims', 'to', 'corner', '30', 'of', 'local', 'market', 'in', '5', 'years']
['will', 'give', 'ed', 'list', 'of', '100', 'tmc', 'mlas', 'with', 'disproportionate', 'assets', 'suvendu', 'adhikari']
['samajwadi', 'party', 'national', 'convention', 'at', 'lucknow', 'on', 'sept', '29', 'party', 'president', 'to', 'be', 'elected']
['this', 'is', 'indias', 'moment', 'at', 'vedanta', 'foxconns', 'first', 'semiconductor', 'plant', 'launch', 'anil', 'agarwal', 'says', 'gen', 'z', 'will', 'turn', 'job', 'creators']
['ahead', 'of', 'market', '10', 'things', 'that', 'will', 'decide', 'd', 'st', 'action', 'on', 'friday']
['aap', 'to', 'hold', 'first', 'national', 'conclave', 'of', 'its', 'elected', 'representatives', 'discuss', 'operation', 'lotus']
['state', 'cant', 'curtail', 'fundamental', 'right', 'to', 'establish', 'educational', 'institutes', 'by', 'executive', 'order', 'sc']
['supreme', 'court', 'says', 'life', 'convicts', 'who', 'have', 'completed', '10', 'years', 'of', 'jail', 'term', 'should', 'be', 'released', 'on', 'bail']
['uidai', 'reaches', 'out', 'to', 'states', 'to', 'enhance', 'their', 'involvement', 'in', 'aadhaar', 'ecosystem']
['prince', 'william', 'speaks', 'of', 'challenging', 'walk', 'behind', 'queens', 'coffin']
['tattooing', 'now', 'is', 'fast', 'painless', 'due', 'to', 'new', 'microneedle', 'technique', 'details', 'here']
['queens', 'funeral', 'uk', 'mourns', 'as', 'thousands', 'wait', 'in', 'line', 'to', 'pay', 'homage']
['in', 'first', '2', 'days', 'around', '3', '4', 'lakh', 'consumers', 'apply', 'for', 'delhi', 'power', 'subsidy']
['levis', 'x', 'deepika', 'padukone', 'gets', 'a', 'baggy', 'upgrade', 'with', 'the', 'launch', 'of', 'season', '3']
['nitin', 'gadkari', 'asks', 'auto', 'makers', 'to', 'focus', 'on', 'quality', 'and', 'not', 'cost']
['upl', 'acquires', '26', 'per', 'cent', 'stake', 'in', 'renewable', 'energy', 'firm', 'clean', 'max', 'kratos']
['amid', 'opposition', 'unity', 'talks', 'nitish', 'kumar', 'dials', 'tamil', 'nadu', 'cm', 'stalin']
['azerbaijan', 'says', 'if', 'india', 'comes', 'up', 'with', 'some', 'proposal', 'to', 'ease', 'situation', 'with', 'armenia', 'it', 'will', 'welcome', 'such', 'initiatives']
['mysterious', 'fireball', 'spotted', 'in', 'night', 'sky', 'across', 'scotland', 'details', 'here']
['karnataka', 'legislative', 'council', 'passes', 'anti', 'conversion', 'bill', 'amid', 'objections', 'from', 'opposition']
['ami', 'lifesciences', 'appoints', 'amit', 'kaptain', 'as', 'ceo']
['metas', 'oversight', 'board', 'announces', 'new', 'case', 'for', 'consideration', 'from', 'india']
['assam', 'bhutan', 'gate', 'will', 'be', 'opened', 'on', 'september', '23', 'to', 'bring', 'in', 'more', 'expediency', 'in', 'the', 'trade', 'activities', 'for', 'small', 'vendors', 'businessmen']
['uk', 'official', 'therese', 'coffey', 'receives', 'flak', 'for', 'advising', 'doctors', 'not', 'to', 'use', 'oxford', 'comma']
['adani', 'ports', 'and', 'sez', 'signs', 'pact', 'for', 'haldia', 'port']
['r', 'kelly', 'is', 'convicted', 'of', 'child', 'erotica', 'check', 'out', 'the', 'details']
['modis', 'tactics', 'to', 'derail', 'bharat', 'jodo', 'yatra', 'congress', 'on', 'ed', 'summons', 'to', 'shivakumar']
['cbi', 'arrests', 'ex', 'secondary', 'education', 'board', 'chief', 'in', 'school', 'jobs', 'scam']
['prince', 'harry', 'devastated', 'at', 'queens', 'coffin', 'procession', 'service']
['mexican', 'independence', 'day', 'in', 'coachella', 'valley', 'date', 'celebrations', 'key', 'details']
['jharkhand', 'governor', 'returns', 'another', 'bill', 'to', 'govt', 'for', 'anomaly']
['westminster', 'hall', 'live', 'stream', 'cut', 'short', 'as', 'royal', 'guard', 'falls', 'from', 'podium']
['more', 'than', '100', 'flights', 'to', 'heathrow', 'airport', 'on', 'monday', 'cancelled', 'due', 'to', 'queens', 'funeral', 'report']
['honouring', '25', 'entrepreneurs', 'for', 'their', 'exemplary', 'work', 'at', 'the', 'inspiring', 'personalities', '2022', 'event']
['first', 'woman', 'chief', 'guest', 'at', 'rss', 'dussehra', 'event', 'in', 'nagpur']
['bitcoin', 'holds', 'above', '20000', 'ethereum', 'volatile', 'after', 'merge', 'upgrade']
['crypto', 'community', 'goes', 'gaga', 'after', 'ethereum', 'completes', 'the', 'merge']
['16', 'tdp', 'members', 'suspended', 'from', 'andhra', 'pradesh', 'assembly', 'for', 'a', 'day']
['president', 'of', 'guyana', 'irfaan', 'ali', 'to', 'meet', 'us', 'vice', 'president', 'kamala', 'harris', 'details', 'here']
['karnataka', 'hijab', 'ban', 'we', 'are', 'not', 'interpreters', 'of', 'quran', 'says', 'sc']
['adobe', 'buys', 'figma', 'for', '20', 'billion', 'details', 'here']
['oracle', 'cloud', 'business', 'clocks', 'triple', 'digit', 'growth', 'in', 'india', 'senior', 'executive']
['jk', 'bank', 'shareholders', 'reject', 'esop', 'plan', 'wanis', 'reappointment', 'as', 'board', 'director']
['varde', 'partners', 'invests', 'rs', '400', 'cr', 'in', 'chennai', 'developer', 'casagrand']
['elon', 'musk', 'launches', 'cyberwhistle', 'did', 'tesla', 'chief', 'just', 'mock', 'twitter']
['renewable', 'energy', 'india', 'expo', 'to', 'bring', 'rs', '800', 'crore', 'investment', 'opportunity', 'for', 'biogas']
['florida', 'sends', 'two', 'flights', 'carrying', '50', 'migrants', 'to', 'marthas', 'vineyard']
['sad', 'seeks', 'cbi', 'probe', 'into', 'aap', 'allegation', 'of', 'bjp', 'bid', 'to', 'poach', 'its', 'mlas']
['sppl', 'india', 'launches', 'thomson', 'qled', '4k', 'smart', 'tv', 'with', 'google', 'tv', 'support']
['developed', 'world', 'failed', 'to', 'meet', 'commitment', 'on', 'climate', 'finance', 'piyush', 'goyal']
['chhagan', 'bhujbals', 'son', 'nephew', 'seek', 'dropping', 'of', 'pmla', 'proceedings', 'in', 'view', 'of', 'sc', 'guidelines']
['decision', 'on', 'gorkhas', 'recruitment', 'under', 'agnipath', 'scheme', 'to', 'be', 'taken', 'after', 'nov', 'polls', 'nepal']
['reliance', 'retail', 'seeks', 'shareholders', 'nod', 'for', 'doubling', 'borrowing', 'limit', 'to', 'rs', '1', 'lakh', 'crore']
['sbi', 'card', 'raises', 'rs', '500', 'crore', 'through', 'bonds']
['chhattisgarh', 'hc', 'seeks', 'reply', 'from', 'state', 'govt', 'officials', 'over', 'cases', 'of', 'social', 'boycott']
['ranveer', 'singh', 'claims', 'nude', 'photoshoot', 'image', 'on', 'social', 'media', 'morphed', 'mumbai', 'police', 'share', 'pic', 'with', 'forensic', 'lab']
['hindi', 'speaking', 'gives', 'me', 'shivers', 'i', 'speak', 'it', 'with', 'hesitation', 'fm', 'sitharaman']
['why', 'did', 'vernon', 'shut', 'down', 'question', 'when', 'seventeens', 'progress', 'was', 'compared', 'to', 'bts']
['the', 'rise', 'of', 'fake', 'science', 'websites', 'new', 'study', 'throws', 'light', 'on', 'how', 'debunked', 'bogus', 'theories', 'are', 'peddled']
['tata', 'power', 'assures', 'quality', 'power', 'to', 'industries', 'to', 'invest', 'rs', '5000', 'crore', 'in', 'capex']
['kartik', 'aaryan', 'posts', 'photo', 'with', 'rashmika', 'mandanna', 'fans', 'call', 'them', 'cute', 'jodi']
['is', 'gets', 'active', 'in', 'northern', 'afghanistan', 'moscow', 'upset', 'over', 'pakistans', 'role', 'in', 'promoting', 'terror', 'on', 'afghan', 'soil']
['government', 'needs', 'to', 'assess', 'financial', 'sector', 'risks', 'financial', 'markets', 'regularly', 'fsdc']
['bank', 'of', 'baroda', 'braces', 'up', 'to', 'expand', 'mid', 'corporate', 'loans']
['cbi', 'books', 'psl', 'group', 'for', 'cheating', 'canara', 'bank', 'to', 'tune', 'of', 'rs', '428', '50', 'cr']
['harsha', 'engineers', 'ipo', 'is', 'subscribed', '2', '87', 'times', 'on', 'day', '1']
['majority', 'of', 'indias', 'rated', 'infrastructure', 'issues', 'can', 'withstand', 'further', 'depreciation', 'of', 'rupee', 'owing', 'to', 'their', 'financial', 'hedges', 'and', 'other', 'mitigants', 'said', 'moodys', 'investors', 'service']
['kannada', 'tv', 'actor', 'mandya', 'ravi', 'passes', 'away', 'at', 'the', 'age', 'of', '43']
['us', 'industrial', 'output', 'dips', 'in', 'august', 'on', 'drop', 'in', 'electricity', 'output']
['maruti', 'suzuki', 'rallies', '4', 'to', '52', 'week', 'high', 'as', 'bofa', 'raises', 'target', 'price']
['karthikeya', '2', 'hindi', 'continues', 'its', 'dream', 'run', 'with', '500', 'profit', 'brahmastra', 'wanes', 'with', 'rs', '10', '5', 'cr', 'on', 'wednesday']
['british', 'actor', 'director', 'harry', 'landis', 'passes', 'away', 'at', '90']
['bigg', 'boss', 'kannada', 'season', '9', 'check', 'premier', 'date', 'hots', 'key', 'details']
['cbi', 'takes', 'over', 'probe', 'in', 'bjp', 'leader', 'sonali', 'phogats', 'death']
['epack', 'durable', 'raises', '40', 'mn', 'in', 'second', 'round', 'of', 'funding', 'led', 'by', 'affirma', 'capital']
['netflix', 'to', 'release', 'crime', 'docuseries', 'sins', 'of', 'our', 'mother', 'check', 'subject', 'line']
['fan', 'aks', 'harsha', 'bhogle', 'to', 'boycott', 'uber', 'commentator', 'gives', 'classy', 'reply']
['domestic', 'air', 'passenger', 'traffic', 'rose', '5', 'pc', 'to', '1', '02', 'cr', 'in', 'august', 'icra']
['8', 'top', 'new', 'altcoins', 'to', 'invest', 'in', 'for', '100x', 'growth']
['hispanic', 'heritage', 'month', 'read', 'details', 'of', 'treasured', 'hispanic', 'fall', 'festival']
['most', 'bad', 'decisions', 'are', 'emotional', 'cred', 'founder', 'kunal', 'shah', 'calls', 'ability', 'to', 'regulate', 'feelings', 'a', 'superpower']
['no', 'power', 'crisis', 'this', 'festive', 'season', 'already', 'imported', '20', 'mn', 'tonne', 'coal', 'power', 'secy', 'alok', 'kumar']
['tech', 'view', 'nifty50', 'forms', 'a', 'bearish', 'candle', 'what', 'should', 'investors', 'do', 'on', 'friday']
['this', 'plastic', 'film', 'can', 'kill', 'covid', 'virus', 'uk', 'scientists', 'develop', 'cost', 'effective', 'self', 'sterilising', 'sheet']
['jio', 'outguns', 'airtel', 'vi', 'adds', '2', '94', 'mn', 'subs', 'in', 'july', '22', 'trai']
['this', 'lemur', 'is', 'anand', 'mahindras', 'subject', 'for', 'twitter', 'humour']
['government', 'working', 'to', 'increase', 'domestic', 'coking', 'coal', 'output', 'steel', 'secretary']
['69', 'pc', 'people', 'in', 'india', 'seeing', 'severe', 'effects', 'of', 'climate', 'change', 'survey']
['up', 'tops', 'chart', 'among', 'states', 'in', 'trials', 'pending', 'in', 'fast', 'track', 'courts']
['cash', 'on', 'delivery', 'still', 'the', 'most', 'preferred', 'payment', 'option', 'gokwik', 'report']
['jsw', 'paints', 'disputes', 'cci', 'order', 'on', 'asian', 'paints', 'to', 'take', 'appropriate', 'steps']
['accumulate', 'kec', 'international', 'target', 'price', 'rs', '473', 'prabhudas', 'lilladher']
['gareth', 'southgate', 'to', 'disclose', 'final', 'pre', 'world', 'cup', 'england', 'football', 'team', 'fans', 'can', 'also', 'participate', 'heres', 'how']
['now', 'add', 'music', 'cinematic', 'visuals', 'to', 'your', 'special', 'moments', 'google', 'updates', 'photos', 'app', 'with', 'revamped', 'memories', 'feature']
['2020', 'delhi', 'riots', 'court', 'discharges', 'five', 'accused', 'from', 'charge', 'of', 'setting', 'ablaze', 'shop']
['tube', 'investments', 'to', 'leverage', 'murugappa', 'group', 'firms', 'to', 'boost', 'ev', 'business']
['is', 'gets', 'active', 'in', 'northern', 'afghanistan', 'moscow', 'upset', 'over', 'pak', 'role', 'in', 'promoting', 'terror', 'on', 'afghan', 'soil']
['ajith', 'kumar', 'seeks', 'blessings', 'at', 'kedarnath', 'badrinath', 'temples', 'during', 'ladakh', 'visit']
['instagram', 'brings', 'its', 'parental', 'supervision', 'tools', 'to', 'india']
['west', 'bengal', 'rally', 'violence', 'bjp', 'calls', 'tmc', 'govt', 'fascist', 'and', 'dictatorial']
['vedanta', 'foxconn', 'project', 'shifted', 'to', 'gujarat', 'due', 'to', 'centres', 'pressure', 'move', 'will', 'harm', 'country', 'maha', 'cong']
['stranger', 'things', 'actor', 'david', 'harbour', 'to', 'star', 'in', 'sonys', 'movie', 'adaptation', 'of', 'video', 'game', 'gran', 'turismo']
['tata', 'motors', 'expects', '20', 'pc', 'of', 'domestic', 'passenger', 'vehicle', 'sales', 'to', 'come', 'from', 'evs', 'in', 'three', 'years']
['countrys', 'security', 'cant', 'be', 'outsourced', 'or', 'be', 'dependent', 'on', 'largesse', 'of', 'others', 'self', 'sufficiency', 'is', 'key', 'army', 'chief']
['prajakta', 'koli', 'rohit', 'saraf', 'starrer', 'mismatched', 'will', 'return', 'to', 'neflix', 'for', 'season', '2', 'on', 'october', '14']
['nick', 'cannon', 'lanisha', 'cole', 'welcome', 'new', 'baby', 'daughter', 'into', 'family', 'see', 'whats', 'the', 'name', 'of', 'the', 'child']
['pak', 'pm', 'sharif', 'says', 'even', 'friendly', 'countries', 'started', 'looking', 'at', 'pakistan', 'as', 'beggars']
['want', 'to', 'invest', 'in', 'pharma', 'capex', 'themes', 'these', 'are', 'the', 'stocks', 'to', 'consider']
['ramarao', 'on', 'duty', 'ott', 'release', 'when', 'and', 'where', 'to', 'watch']
['indian', 'oil', 'firms', 'buy', 'russian', 'oil', 'from', 'open', 'markets', 'govt', 'has', 'no', 'role', 'in', 'it', 'foreign', 'secretary']
['redington', 'joins', 'google', 'to', 'help', 'smbs', 'embrace', 'cloud', 'in', 'india']
['matthew', 'mcconaugheys', 'movie', 'dallas', 'sting', 'dropped', 'by', 'skydance', 'heres', 'the', 'reason']
['deal', 'values', 'halve', 'to', '4', '1', 'bn', 'in', 'august', 'grant', 'thornton', 'bharat']
['two', 'wheeler', 'sales', 'may', 'take', '5', 'yrs', 'to', 'come', 'back', 'to', 'peak', 'levels', 'of', 'fy19', 'hmsis', 'atsushi', 'ogata']
['tata', 'power', 'solar', 'systems', 'to', 'set', 'up', '100mw', 'project', 'for', 'sjvn', 'in', 'gujarat']
['asian', 'central', 'banks', 'to', 'maintain', 'gradual', 'rate', 'hiking', 'pace', 'nomura']
['nifty', 'bank', 'key', 'levels', 'to', 'watch', 'out', 'for', 'on', 'friday']
['sushmita', 'sen', 'begins', 'shooting', 'for', 'new', 'web', 'series', 'says', 'life', 'has', 'been', 'crazy', 'busy']
['export', 'ban', 'on', 'broken', 'rice', 'to', 'ease', 'pressure', 'on', 'domestic', 'retail', 'prices', 'govt', 'official']
['tech', 'packed', 'thursday', 'vivo', 'v25', '5g', 'oppo', 'f21s', 'pro', 'series', 'launched', 'in', 'india', 'under', 'rs', '30000', 'check', 'specs']
['after', '18', 'month', 'delay', 'byjus', 'releases', 'audited', 'fy21', 'results', 'the', 'merge', 'sparks', 'ether', 'trading', 'surge']
['irctc', 'red', 'flags', 'timing', 'clash', 'of', 'mumbai', 'ahmedabad', 'tejas', 'express', 'with', 'new', 'vande', 'bharat', 'train']
['midcap', 'stocks', 'with', 'high', 'upside', 'potential', 'stock', 'reports', 'plus']
['bengal', 'will', 'be', 'no', '1', 'in', 'creation', 'of', 'jobs', 'in', '4', '5', 'years', 'wb', 'cm', 'mamata', 'banerjee']
['queen', 'elizabeth', 'ii', 'funeral', 'official', 'route', 'queue', 'entry', 'timing', 'details', 'here']
['kbc', '2022', 'identical', 'twins', 'attend', 'kaun', 'banega', 'crorepati', '14', 'watch', 'amitabh', 'bachchans', 'reaction']
['malware', 'in', '28', 'games', 'like', 'roblox', 'minecraft', 'exploit', 'several', 'players', 'financial', 'data']
['banksy', 'artworks', 'worlds', 'largest', 'exhibition', 'to', 'be', 'held', 'in', 'salfords', 'mediacity', 'in', 'manchester']
['cm', 'can', 'sack', 'me', 'i', 'will', 'not', 'step', 'down', 'unless', 'asked', 'by', 'my', 'party', 'bihar', 'agri', 'min']
['big', 'boss', '16', 'trailer', 'of', 'salman', 'khans', 'show', 'is', 'out', 'premiere', 'release', 'date', 'key', 'details']
['cheetah', 'reintroduction', 'in', 'india', 'twitter', 'celebrates', 'long', 'awaited', 'return', 'of', 'worlds', 'fastest', 'land', 'animal']
['vande', 'bharat', 'takes', 'around', '5', 'hours', 'in', 'ahmedabad', 'mumbai', 'trial', 'run', 'breaks', 'bullet', 'train', 'record']
['evolution', 'of', '007', 'sam', 'mendes', 'wants', 'to', 'see', 'a', 'woman', 'director', 'helm', 'bond', 'films']
['pm', 'modi', 'to', 'release', 'cheetahs', 'brought', 'from', 'namibia', 'in', 'mps', 'kuno', 'national', 'park']
['gujarat', 'elections', 'bjp', 'mlas', 'offer', 'five', 'autorickshaws', 'as', 'gift', 'to', 'arvind', 'kejriwal', 'after', 'his', 'run', 'in', 'with', 'cops', 'over', 'auto', 'ride']
['why', 'bjp', 'offered', '5', 'autorickshaws', 'as', 'gift', 'to', 'cm', 'arvind', 'kejriwal']
['new', 'book', 'my', 'name', 'is', 'not', 'devdas', 'reimagines', 'sarat', 'chandra', 'chattopadhyays', '1917', 'classic', 'novel']
['shell', 'picks', 'wael', 'sawan', 'as', 'new', 'ceo', 'after', 'ben', 'van', 'beurden', 'decides', 'to', 'step', 'down', 'details', 'here']
['tekken', '8', 'see', 'release', 'date', 'storyline', 'and', 'all', 'you', 'need', 'to', 'know', 'about', 'the', 'game']
['american', 'singer', 'vince', 'gill', 'shares', 'updates', 'about', 'wife', 'amy', 'grants', 'recovery', 'from', 'bike', 'accident', 'check', 'the', 'details']
['tamilnad', 'mercantile', 'bank', 'to', 'focus', 'on', 'phygital', 'platform', 'network', 'expansion', 'mdceo']
['what', 'happened', 'to', 'cryptocurrency', 'today', 'how', 'to', 'react', 'to', 'the', 'current', 'market', 'conditions']
['top', '5', 'cryptocurrency', 'to', 'invest', 'in', 'during', 'a', 'crypto', 'bear', 'market']
['processing', 'of', 'us', 'family', 'based', 'green', 'cards', 'explained']
['netflix', 'global', 'fan', 'event', 'tudum', 'to', 'return', 'with', 'a', 'bang', 'see', 'how']
['cbi', 'must', 'arrest', 'me', 'within', '4', 'days', 'if', 'sting', 'shared', 'by', 'bjp', 'has', 'any', 'truth', 'manish', 'sisodia']
['kotak', 'business', 'cycle', 'fund', 'nfo', 'review']
['iaf', 'team', 'rehearses', 'ahead', 'of', 'air', 'show', 'in', 'bhubaneswar']
['fundamentals', 'backing', 'tyre', 'stocks', '2', 'stocks', 'to', 'bet', 'on', 'sandip', 'sabharwal']
['wanted', 'criminal', 'gets', 'arrested', 'after', 'he', 'applies', 'for', 'job', 'in', 'police', 'force']
['the', 'most', 'accident', 'prone', 'areas', 'of', 'delhi', 'mumbai', 'bengaluru', 'hyderabad', 'chennai', 'and', 'kolkata']
['documentary', 'reveals', 'king', 'charles', 'iiis', 'lavish', 'lifestyle', 'find', 'out', 'details']
['new', 'ott', 'releases', 'this', 'week', 'see', 'what', 'to', 'watch', 'where']
['5', 'pockets', 'to', 'look', 'for', 'earnings', 'growth', 'in', 'next', '2', '3', 'year', 'harish', 'krishnan']
['foxconn', 'row', 'who', 'was', 'responsible', 'for', 'nixing', 'nanar', 'refinery', 'fadnavis', 'asks', 'opposition']
['sri', 'lanka', 'will', 'not', 'be', 'part', 'of', 'any', 'indian', 'ocean', 'turf', 'war', 'president', 'wickremesinghe']
['video', 'up', 'man', 'complains', 'about', 'potholes', 'behind', 'him', 'an', 'accident']
['best', 'room', 'heaters', 'under', '5000']
['trying', 'to', 'revive', 'the', 'west', 'coast', 'refinery', 'project', 'hardeep', 'singh', 'puri']
['indices', 'end', 'lower', 'for', 'second', 'day', 'sensex', 'below', '60k', 'nifty', 'gives', 'up', '17900']
['will', 'inch', 'towards', '470', 'billion', 'in', 'exports', 'this', 'fiscal', 'trade', 'to', 'pick', 'up', 'after', 'october', 'fieos', 'ajay', 'sahai']
['india', 'plans', 'no', 'more', 'funding', 'for', 'sri', 'lanka', 'as', 'imf', 'talks', 'progress', 'sources']
['mobikwik', 'appoints', 'indusind', 'banks', 'mukul', 'saxena', 'as', 'ceo', 'of', 'financial', 'services', 'zaakpay', 'business', 'units']
['5', 'lowest', 'transaction', 'fee', 'cryptocurrencies', 'in', '2022']
['what', 'is', 'operation', 'unicorn', 'planned', 'before', 'queen', 'elizabeth', 'iis', 'death', 'heres', 'all', 'you', 'need', 'to', 'know']
['indias', 'rice', 'exports', 'set', 'to', 'fall', '25', 'as', 'levy', 'make', 'shipments', 'expensive']
['shell', 'to', 'set', 'up', '10000', 'ev', 'charging', 'points', 'expand', 'retail', 'outlets']
['sea', 'level', 'rises', 'by', 'a', 'double', 'rate', 'in', 'new', 'zealand', 'due', 'to', 'climate', 'change']
['inflation', 'in', 'us', 'risks', 'of', 'recession', 'layoffs', 'other', 'key', 'details']
['what', 'scholarships', 'are', 'available', 'for', 'aspirants', 'who', 'want', 'to', 'study', 'abroad']
['govt', 'issues', 'consolidated', 'guidelines', 'on', 'official', 'dealings', 'between', 'administration', 'and', 'mps']
['bengaluru', 'doesnt', 'need', 'knee', 'jerk', 'reactions', 'penalise', 'builders', 'authorities', 'for', 'holistic', 'solution', 'kiran', 'mazumdar', 'shaw']
['audit', 'firm', 'deloitte', 'sought', '2', 'key', 'changes']
['gujarat', 'elections', 'congress', 'attacks', 'arvind', 'kejriwal', 'calls', 'him', 'biggest', 'liar', 'and', 'his', 'party', 'most', 'corrupt']
['how', 'to', 'save', 'income', 'tax', 'on', 'capital', 'gains', 'from', 'selling', 'a', 'house']
['nps', 'pension', 'rules', 'eased', 'from', 'today', 'and', 'digital', 'life', 'certificate', 'allowed']
['bond', 'investors', 'risk', 'getting', 'burned', 'if', 'india', 'fails', 'to', 'make', 'index']
['3', 'best', 'dog', 'cryptocurrencies', 'not', 'to', 'miss', 'in', '2022']
['vendhu', 'thanindhathu', 'kaadu', 'twitter', 'review', 'netizens', 'call', 'it', 'a', 'blockbuster', 'applaud', 'silambarasan', 'trs', 'movie']
['what', 'are', 'the', 'five', 'popular', 'sectors', 'for', 'jobs', 'in', 'australia']
['speed', 'up', 'establishing', 'fast', 'track', 'courts', 'law', 'minister', 'kiren', 'rijiju', 'to', 'chief', 'justices', 'of', 'high', 'courts']
['not', 'sorry', 'urvashi', 'rautelas', 'apology', 'video', 'wasnt', 'meant', 'for', 'cricketer', 'rishabh', 'pant']
['want', 'to', 'pursue', 'mba', 'at', 'top', 'uk', 'business', 'schools', 'know', 'their', 'acceptance', 'rates']
['upgrad', 'acquires', 'centum', 'learning']
['west', 'bengal', 'ssc', 'scam', 'cbi', 'searches', 'at', '6', 'locations', 'in', 'delhi', 'kolkata']
['bengalureans', 'can', 'soon', 'enjoy', 'double', 'decker', 'bus', 'rides', 'in', 'new', 'e', 'avatar']
['complaint', 'over', 'ipad', 'price', 'reaches', 'civil', 'aviation', 'ministry', 'see', 'response']
['bollywood', 'actor', 'pankaj', 'tripathi', 'says', 'shehnaaz', 'gill', 'reminds', 'him', 'of', 'sidharth', 'shukla', 'read', 'details']
['looking', 'forward', 'to', 'exchanging', 'views', 'on', 'topical', 'regional', 'and', 'international', 'issues', 'at', 'sco', 'meet', 'pm', 'modi']
['dubbing', 'platform', 'dubdub', 'ai', 'raise', '1', 'million', 'from', 'waveform', 'ventures', 'accel', 'atoms']
['tamil', 'nadus', 'breakfast', 'programme', 'for', 'school', 'students', 'all', 'you', 'need', 'to', 'know']
['sensex', 'atop', '60k', 'but', 'over', '240', 'stocks', 'still', '68', 'away', 'from', '52', 'week', 'highs']
['helios', 'strategy', 'not', 'just', 'going', 'contra', 'being', 'early', 'helps', 'make', 'money', 'in', 'market']
['post', 'ipo', 'tamilnad', 'mercantile', 'bank', 'to', 'continue', 'to', 'focus', 'on', 'ram', 'segment', 'md']
['milk', 'producer', 'companies', 'milk', 'procurement', 'to', 'jump', '3', 'fold', 'to', 'rs', '18000', 'cr', 'in', 'value', 'terms', 'in', '5', 'years']
['ford', 'motors', 'unveils', 'new', 'mustang', 'at', 'detroit', 'auto', 'show', 'details', 'inside']
['sexism', 'and', 'gender', 'stereotypes', 'have', 'led', 'to', 'girls', 'lagging', 'behind', 'boys', 'in', 'mathematics', 'worldwide', 'unicef', 'report']
['spl', 'status', 'for', 'all', 'backward', 'states', 'if', 'non', 'bjp', 'alliance', 'comes', 'to', 'power', 'at', 'centre', 'nitish', 'kumar']
['veranda', 'learning', 'solutions', 'gets', 'nod', 'to', 'raise', 'rs', '300', 'crore']
['wary', 'of', 'good', 'score', 'millennials', 'and', 'gen', 'z', 'actively', 'track', 'credit', 'behaviour', 'study']
['singapore', 'minister', 'sees', 'strong', 'and', 'growing', 'relationship', 'with', 'india', 'launches', 'indian', 'art', 'exhibition']
['paytm', 'to', 'partner', 'flipkart', 'as', 'payments', 'partner', 'for', 'the', 'big', 'billion', 'days', '2022']
['nasa', 'faces', 'orbital', 'debris', 'threat', 'greatest', 'challenge', 'of', 'our', 'era']
['smartkarma', 'research', 'breakthrough', 'battery', 'innovation']
['galaxeye', 'inks', 'mou', 'with', 'us', 'company', 'to', 'make', 'satellites', 'with', 'sar', 'optical', 'sensors']
['the', 'mayyas', 'win', 'americas', 'got', 'talent', 'season', '17', 'see', 'what', 'the', 'judges', 'say', 'about', 'the', 'winners']
