['virat', 'kohli', 'anatomy', 'of', 'a', 'megastar', 'keeping', 'a', 'dying', 'format', 'alive']
['two', 'dabur', 'cos', 'get', 'relief', 'in', 'multiple', 'lawsuits', 'in', 'us', 'court', '3rd', 'entity', 'to', 'face', 'charges']
['it', 'would', 'be', 'a', 'miracle', 'scarlett', 'johansson', 'on', 'whether', 'marvel', 'studios', 'will', 'bring', 'back', 'black', 'widow', 'to', 'mcu']
['target', 'soars', '15', 'on', 'improved', 'inventory', 'management', 'profit', 'beat']
['denzel', 'washingtons', 'hannibal', 'on', 'netflix', 'know', 'about', 'the', 'expected', 'release', 'window']
['matthew', 'perry', 'tribute', 'oh', 'boy', 'this', 'one', 'has', 'cut', 'deep', 'says', 'jennifer', 'aniston', 'in', 'tribute', 'to', 'friends', 'costar']
['completely', 'fabricated', 'will', 'smith', 'breaks', 'silence', 'on', 'duane', 'martin', 'affair', 'allegations']
['why', 'former', 'pakistani', 'cricketer', 'abdul', 'razzaq', 'apologized', 'to', 'aishwarya', 'rai']
['draymond', 'green', '5', 'most', 'roughest', 'ejections', 'of', 'the', 'player']
['manipur', 'chief', 'minister', 'n', 'biren', 'singh', 'says', '16', 'hectares', 'of', 'illicit', 'poppy', 'fields', 'destroyed']
['commerzbank', 'wins', 'crypto', 'custody', 'licence', 'in', 'digital', 'assets', 'push']
['telangana', 'polls', 'withdrawal', 'of', 'nominations', 'comes', 'to', 'end', 'parties', 'to', 'intensify', 'campaign']
['best', 'water', 'purifiers', 'under', '10000', 'in', 'india']
['king', 'charles', 'birthday', 'happy', 'birthday', 'songs', 'were', 'played', 'for', 'king', 'at', 'his', '75th', 'birthday', 'party']
['madame', 'web', 'trailer', 'release', 'date', 'cast', 'and', 'everything', 'else', 'you', 'need', 'to', 'know', 'about', 'this', 'spiderman', 'spin', 'off']
['were', 'in', 'an', 'open', 'relationship', 'director', 'taika', 'waititi', 'says', 'he', 'wont', 'be', 'involved', 'with', 'mcus', 'thor', '5']
['who', 'suggests', 'quitting', 'smoking', 'can', 'lower', 'diabetes', 'risk', 'by', '30', '40', 'per', 'cent']
['first', 'unit', 'of', '30', 'mw', 'capacity', 'at', 'sjvn', 'naitwar', 'mori', 'hydro', 'electric', 'project', 'starts', 'power', 'supply']
['bullish', 'on', 'india', 'will', 'invest', 'up', 'to', '2', '5', 'bn', 'in', 'energy', 'infrastructure', 'actis', 'chairman', 'caesar']
['religare', 'chair', 'saluja', 'opposing', 'burmans', 'open', 'offer', 'fearing', 'loss', 'of', 'control', 'says', 'mohit', 'burman']
['employees', 'state', 'insurance', 'adds', '18', '88', 'lakh', 'new', 'members', 'in', 'sep']
['fire', 'breaks', 'out', 'in', 'delhi', 'darbhanga', 'express', 'train']
['ongc', 'plans', 'to', 'invest', 'rs', '1', 'lakh', 'cr', 'to', 'set', 'up', '2', 'petrochemical', 'plants']
['babar', 'azam', 'resigns', 'as', 'pakistan', 'cricket', 'team', 'captain', 'post', 'world', 'cup', 'setback']
['pokmon', 'concierge', 'trailer', 'out', 'know', 'the', 'release', 'date', 'of', 'netflix', 'series', 'here']
['pest', 'control', 'company', 'offers', '2500', 'to', 'infest', '100', 'cockroaches', 'in', 'your', 'home', 'who', 'can', 'apply']
['suzlons', 'wind', 'turbine', 'gets', 'rlmm', 'listing']
['bank', 'of', 'baroda', 'board', 'to', 'meet', 'on', 'nov', '18', 'to', 'consider', 'infra', 'bond', 'issue']
['eows', 'latest', 'reveals', 'in', 'bharatpe', 'fraud', 'case', 'narayana', 'murthy', 'wants', 'india', 'to', 'invest', 'in', 'teachers']
['nearly', '60', 'years', 'after', 'tapan', 'sinhas', 'kabuliwala', 'tagores', 'timeless', 'story', 'gets', 'adapted', 'again']
['humanitys', 'preoccupation', 'with', 'the', 'supernatural', 'extends', 'back', 'to', 'ancient', 'mesopotamia']
['i', 'feel', 'like', 'dancing', 'jason', 'mraz', 'opens', 'up', 'about', 'his', 'self', 'acceptance', 'journey']
['ettech', 'explainer', 'all', 'you', 'need', 'to', 'know', 'about', 'youtubes', 'approach', 'to', 'responsible', 'ai', 'innovation']
['should', 'you', 'go', 'for', 'tata', 'tech', 'ipo', 'now', 'or', 'buy', '6', '12', 'months', 'down', 'the', 'line', 'after', 'volatility', 'subsides', 'dipan', 'mehta', 'answers']
['pm', 'modi', 'launches', 'rs', '24000', 'crore', 'project', 'for', 'development', 'of', 'vulnerable', 'tribal', 'groups']
['comm', 'min', 'expects', 'to', 'issue', '20000', 'status', 'holder', 'certificates', 'to', 'exporters', 'this', 'year', 'dgft']
['kohli', 'iyer', 'tons', 'help', 'india', 'post', '397', 'for', '4', 'against', 'new', 'zealand', 'in', 'world', 'cup', 'semi', 'final']
['dda', 'to', 'auction', '1100', 'luxury', 'flats', 'as', 'part', 'of', 'biggest', 'housing', 'scheme', 'for', 'delhi']
['starbucks', 'red', 'cup', 'day', 'know', 'what', 'is', 'it', 'and', 'why', 'are', 'workers', 'planning', 'a', 'walkout', 'in', 'hundreds', 'of', 'stores']
['yearly', 'heat', 'related', 'deaths', 'to', 'see', 'fivefold', 'rise', 'by', 'mid', 'century', 'climate', 'inaction', 'threatening', 'public', 'health', 'lancet', 'report']
['tcs', 'forcing', 'employees', 'to', 'transfer', 'to', 'different', 'base', 'locations', 'nites']
['rising', 'senior', 'population', 'dependency', 'ratio', 'to', 'prompt', 'senior', 'living', 'projects', 'investments']
['chhattisgarh', 'polls', 'campaigning', 'for', 'second', 'phase', 'ends', 'voting', 'on', '70', 'seats', 'on', 'friday']
['undistributed', 'funds', 'worth', 'over', 'rs', '25000', 'cr', 'with', 'sebi', 'in', 'focus', 'after', 'death', 'of', 'subrata', 'roy']
['jana', 'kramer', 'and', 'fianc', 'allan', 'russell', 'welcome', 'baby', 'boy']
['what', 'makes', 'emma', 'hayes', 'an', 'ideal', 'candidate', 'to', 'lead', 'us', 'national', 'womens', 'team']
['icc', 'world', 'cup', 'investing', 'portfolio', 'with', 'only', 'virat', 'kohlis', 'will', 'fail', 'in', 'bowling', 'session']
['sachin', 'tendulkar', 'tells', 'virat', 'kohli', 'happy', 'an', 'indian', 'broke', 'record']
['equity', 'investors', 'become', 'richer', 'by', 'rs', '3', '29', 'lakh', 'cr', 'as', 'markets', 'rally', 'over', '1']
['parts', 'of', 'the', 'earth', 'could', 'be', 'shaking', 'from', 'earthquake', 'aftershocks', 'that', 'began', '200', 'years', 'ago']
['nisar', 'satellite', 'passes', 'test', 'of', 'extreme', 'temp', 'vacuum', 'of', 'space', 'nasa']
['jujutsu', 'kaisens', 'season', '2', 'episode', '17', 'brings', 'intense', 'expectations', 'and', 'heart', 'wrenching', 'storylines', 'release', 'date', 'time']
['south', 'africa', 'aims', 'to', 'take', 'forward', 'indias', 'global', 'south', 'agenda']
['imports', 'from', 'russia', 'up', '64', 'pc', 'to', 'usd', '36', '27', 'bn', 'in', 'apr', 'oct']
['imessage', 'now', 'on', 'android', 'courtesy', 'nothing']
['ind', 'vs', 'nz', 'icc', 'world', 'cup', 'semi', 'final', 'david', 'beckham', 'watches', 'high', 'octane', 'clash', 'with', 'sachin', 'tendulkar', 'jay', 'shah', 'ranbir', 'kapoor', 'adds', 'star', 'power', 'on', 'pitch', 'sara', 'cheers', 'for', 'shubman', 'gill']
['tata', 'steel', 'manappuram', 'finance', '6', 'other', 'stocks', 'surpass', '100', 'day', 'sma']
['cash', 'seizures', 'very', 'high', 'in', 'five', 'poll', 'bound', 'states', 'cbdt', 'chairman']
['breakout', 'stocks', 'how', 'to', 'trade', 'mcx', 'nesco', 'and', 'eclerx', 'on', 'thursday']
['records', 'blitz', 'at', 'wankhede', 'virat', 'kohli', 'scores', '50th', 'odi', '100', 'trumps', 'sachin', 'tendulkars', 'record']
['former', 'karnataka', 'cm', 'kumaraswamy', 'booked', 'for', 'stealing', 'electricity', 'on', 'diwali', 'thief', 'poster', 'appears', 'near', 'home']
['rbi', 'directs', 'bajaj', 'finance', 'to', 'stop', 'giving', 'loans', 'under', 'ecom', 'insta', 'emi', 'card']
['cii', 'igbc', 'unveil', 'igbc', 'nest', 'for', 'individual', 'homeowners', 'to', 'reduce', 'energy', 'cost', 'by', '20', '30']
['aequs', 'bags', '10', 'year', 'deal', 'to', 'supply', 'parts', 'to', 'airbus']
['princess', 'dianas', 'final', 'iconic', 'dresses', 'find', 'a', 'new', 'home', 'in', 'los', 'angeles']
['manufacturing', 'supply', 'chain', 'startup', 'keychain', 'raises', '18', 'million', 'in', 'funding', 'led', 'by', 'lightspeed']
['mick', 'jagger', 'reveals', 'rolling', 'stones', 'tongue', 'logo', 'inspired', 'by', 'goddess', 'kali']
['nana', 'patekar', 'slaps', 'fan', 'during', 'shoot', 'shocking', 'video', 'goes', 'viral']
['once', 'obcs', 'dalits', 'and', 'tribals', 'learn', 'about', 'their', 'actual', 'population', 'country', 'will', 'change', 'rahul', 'gandhi']
['tech', 'view', 'niftys', 'next', 'hurdle', 'at', '19850', '20050', 'heres', 'what', 'traders', 'should', 'do', 'on', 'thursday']
['from', 'lambretta', 'to', 'aeroplanes', 'to', 'tihar', 'the', 'incredible', 'life', 'of', 'subrata', 'roy']
['babymonster', 'this', 'is', 'why', 'ahyeon', 'will', 'not', 'debut', 'with', 'others']
['virat', 'kohli', 'hits', '50th', 'odi', 'century', 'to', 'break', 'sachin', 'tendulkars', 'record', 'in', 'wc', 'semifinal', 'vs', 'nz']
['ask', 'automotive', 'stock', 'debuts', 'with', '8', 'on', 'dalal', 'street']
['railways', 'set', 'to', 'earn', 'over', 'rs', '1', '5', 'lakh', 'crore', 'this', 'fiscal', 'freight', 'earnings', 'reach', 'rs', '1', 'lakh', 'crore']
['bank', 'of', 'maharashtra', 'au', 'sfb', '6', 'more', 'midcap', 'stocks', 'crossed', '50', 'day', 'sma']
['narayana', 'murthy', 'bats', 'for', 'creating', '2500', 'train', 'the', 'teacher', 'colleges', 'across', 'india']
['us', 'reality', 'tv', 'show', 'extreme', 'weight', 'loss', 'star', 'brandi', 'mallory', 'dies', 'at', '40']
['blockchain', 'and', 'fintech', 'revolutionizing', 'the', 'future', 'of', 'transactions']
['trai', 'issues', 'public', 'advisory', 'against', 'fraudulent', 'calls', 'threatening', 'disconnection', 'of', 'mobile', 'services']
['you', 'cannot', 'enforce', 'peace', 'from', 'position', 'of', 'weakness', 'dhankhar']
['foreign', 'diplomats', 'witness', 'pm', 'modis', 'roadshow', 'in', 'mp']
['nbfc', 'mfis', 'largest', 'provider', 'of', 'microfinance', 'report']
['bullish', 'on', 'largecaps', 'domestic', 'facing', 'sectors', 'shibani', 'sircar', 'kurian']
['paan', 'eaters', 'are', 'illiterate', 'brainless', 'puri', 'jagannath', 'temple', 'announces', 'ban', 'on', 'paan', 'and', 'gutka', 'from', 'january']
['karnataka', 'changes', 'dress', 'code', 'for', 'competitive', 'exams', 'heres', 'whats', 'allowed', 'whats', 'not']
['govt', 'to', 'exceed', 'rs', '18', '23', 'lakh', 'crore', 'full', 'year', 'direct', 'tax', 'collection', 'target', 'says', 'cbdt', 'chairman']
['watch', 'uk', 'pm', 'rishi', 'sunak', 'and', 'his', 'family', 'sing', 'bhajan', 'at', 'uk', 'temple']
['personalised', 'gift', 'store', 'create', 'lasting', 'memories', 'with', 'your', 'loved', 'ones', 'with', 'festive', 'gifts']
['subrata', 'roy', 'who', 'made', 'it', 'large', 'drop', 'by', 'drop', 'in', 'good', 'and', 'bad', 'times']
['there', 'is', 'no', 'shareholder', 'representation', 'on', 'religare', 'board', 'the', 'idea', 'is', 'to', 'create', 'value', 'not', 'destroy', 'it', 'mohit', 'burman']
['360', 'one', 'wam', 'idfc', '3', 'more', 'smallcap', 'stocks', 'surpass', '20', 'day', 'sma']
['indian', 'students', 'invited', 'to', 'take', 'up', 'higher', 'education', 'in', 'russia']
['maruti', 'suzuki', 'nazara', 'technologies', 'among', '5', 'stocks', 'with', 'rsi', 'trending', 'down']
['paytm', 'partners', 'with', 'travel', 'tech', 'firm', 'amadeus', 'to', 'offer', 'ticket', 'booking', 'payment', 'options']
['cvoter', 'survey', 'rural', 'indians', 'more', 'worried', 'about', 'air', 'pollution']
['shubman', 'gill', 'retires', 'hurt', 'due', 'to', 'cramps', 'after', 'fluent', '79']
['ten', 'dead', 'after', 'bus', 'falls', 'into', 'a', 'gorge', 'in', 'jks', 'doda']
['pm', 'modi', 'launches', 'viksit', 'bharat', 'sankalp', 'yatra', 'to', 'promote', 'central', 'schemes']
['evacuated', 'from', 'war', 'torn', 'ukraine', 'over', '1000', 'indian', 'mbbs', 'students', 'resume', 'studies', 'in', 'medical', 'university', 'uzbekistan']
['lemon', 'tree', 'hotels', 'gains', '23', 'in', 'three', 'months', 'should', 'you', 'stay', 'invested']
['ratnamani', 'metals', 'cdsl', 'among', '5', 'overbought', 'stocks', 'with', 'rsi', 'above', '70']
['imf', 'advises', 'pakistan', 'not', 'to', 'create', 'a', 'preferred', 'investors', 'group', 'and', 'to', 'ensure', 'transparency']
['siemens', 'demerger', 'what', 'the', 'investors', 'need', 'to', 'know']
['next', '6', 'months', 'indian', 'markets', 'could', 'outperform', 'or', 'surprise', 'on', 'the', 'upside', 'abhishek', 'basumallick']
['indias', 'merchandise', 'trade', 'deficit', 'at', '31', '46', 'bln', 'in', 'october']
['rs', '3', 'lakh', 'crore', 'diwali', 'bonus', 'sensex', 'jumps', 'over', '600', 'points', '6', 'factors', 'behind', 'the', 'rally']
['glenn', 'maxwell', 'is', 'available', 'for', 'semifinal', 'against', 'south', 'africa', 'australia', 'skipper', 'pat', 'cummins']
['central', 'bank', 'uco', 'bank', 'among', '5', 'stocks', 'with', 'rsi', 'trending', 'up']
['indian', 'army', 'plans', 'to', 'deploy', '500', 'drones', 'to', 'replace', 'mules', 'helicopters', 'in', 'some', 'areas']
['planning', 'a', 'kid', 'timing', 'the', 'maternity', 'cover', 'will', 'stand', 'you', 'in', 'good', 'stead']
['amitabh', 'bachchan', 'shares', 'mysterious', 'post', 'after', 'abdul', 'razzaq', 'apologizes', 'to', 'aishwarya', 'rai']
['a', 'story', 'indias', 'red', 'tape', 'octogenarian', 'on', 'legal', 'quest', 'for', 'his', 'fathers', 'arrears', 'from', '1979']
['icc', 'world', 'cup', '4', 'wealth', 'management', 'lessons', 'from', 'the', 'cricket', 'field']
['upi', 'lite', 'launched', 'for', 'federal', 'bank', 'how', 'customers', 'can', 'use', 'it']
['indian', 'navy', 'monitoring', 'movement', 'of', 'chinese', 'warships', 'participating', 'in', 'exercise', 'with', 'pakistan']
['tcs', 'tata', 'steel', 'among', '5', 'nifty', 'stocks', 'with', 'golden', 'crossover', 'pattern']
['for', 'investors', 'with', 'slightly', 'higher', 'risk', 'appetite', '4', 'smallcap', 'stocks', 'with', 'upside', 'potential', 'of', 'up', 'to', '32']
['avoid', 'it', 'better', 'to', 'focus', 'on', 'psus', 'as', 'that', 'remains', 'a', 'strong', 'sector', 'rohit', 'srivastava']
['india', 'and', 'us', 'launch', 'innovation', 'handshake', 'to', 'deepen', 'bilateral', 'tech', 'ties']
['aequs', 'bags', 'contract', 'from', 'airbus', 'for', 'supply', 'of', 'critical', 'aircraft', 'components']
['pm', 'modi', 'releases', 'rs', '18000', 'crore', 'pm', 'kisan', 'installment', 'congress', 'questions', 'timing']
['siemens', 'ag', 'to', 'acquire', '18', 'in', 'siemens', 'india', 'for', '2', '1', 'billion']
['pm', 'modi', 'appeals', 'to', 'voters', 'of', 'mp', 'to', 'elect', 'bjp', 'says', 'congress', 'has', 'no', 'vision']
['compensate', 'dog', 'bite', 'victims', 'with', 'rs', '10000', 'per', 'tooth', 'mark', 'punjab', 'and', 'haryana', 'hc']
['india', 'new', 'zealand', 'semis', 'pitch', 'in', 'wankhede', 'changed', 'to', 'help', 'spinners', 'claims', 'a', 'report']
['ask', 'automotive', 'shares', 'debut', 'at', '8', 'premium', 'should', 'you', 'buy', 'sell', 'or', 'hold']
['aligarh', 'chemist', 'receives', 'rs', '4', 'crore', 'in', 'bank', 'account', 'on', 'diwali', 'but', 'isnt', 'happy']
['people', 'angry', 'with', 'congress', 'have', 'unbreakable', 'faith', 'in', 'bjp', 'pm', 'modi', 'on', 'last', 'day', 'of', 'campaign', 'in', 'mp', 'chhattisgarh']
['fo', 'stock', 'strategy', 'how', 'to', 'trade', 'bhel', 'sun', 'tv', 'on', 'wednesday']
['ads', 'for', 'offshore', 'betting', 'apps', 'concerning', 'says', 'watchdog']
['siemens', 'ag', 'to', 'buy', '18', 'stake', 'in', 'siemens', 'energys', 'indian', 'unit', 'for', '2', '1', 'billion']
['market', 'chasing', 'earnings', 'where', 'should', 'you', 'invest', 'anand', 'shah', 'explains']
['pi', 'industries', 'may', 'regain', 'momentum', 'amid', 'double', 'digit', 'growth', 'guidance']
['5', 'equity', 'mutual', 'funds', 'multiplied', 'lumpsum', 'investment', 'three', 'times', 'in', 'five', 'years']
['un', 'apparatus', 'especially', 'security', 'council', 'is', 'crumbling', 'under', 'weight', 'of', '21st', 'century', 'geopolitical', 'realities', 'india']
['ninjakart', 'consolidate', 'its', 'operations', 'into', 'a', 'bigger', 'campus']
['central', 'asias', 'biggest', 'state', 'to', 'maintain', 'healthy', 'gdp', 'growth', 'with', 'big', 'contribution', 'from', 'smes']
['tanishq', 'malabar', 'gold', 'joyalukkas', 'kalyan', 'jewellers', 'all', 'india', 'gold', 'jewellery', 'rates', 'of', 'top', 'branded', 'jewellers', 'today']
['you', 'can', 'help', 'isro', 'plan', 'next', 'space', 'mission', 'here', 'are', 'details']
['reaching', 'the', 'inflection', 'point', '5', 'mid', 'smallcap', 'cement', 'stocks', 'with', 'upside', 'potential', 'of', 'up', 'to', '36']
['why', 'finolex', 'indusries', 'is', 'expecting', 'a', 'pickup', 'in', 'h2', 'maintaining', '15', 'volume', 'guidance']
['at', 'public', 'meeting', 'jharkhand', 'cm', 'hemant', 'soren', 'urges', 'pm', 'modi', 'for', 'special', 'schemes', 'for', 'tribals']
['infosys', 'science', 'foundation', 'announces', 'winners', 'of', 'this', 'years', 'prize']
['israel', 'gaza', 'conflict', 'a', 'challenge', 'to', 'us', 'backed', 'economic', 'corridor', 'says', 'fm', 'sitharaman']
['uco', 'bank', 'takes', 'imps', 'services', 'offline', 'amid', 'technical', 'issues']
['nhrc', 'to', 'hear', 'more', 'than', '40', 'pending', 'cases', 'of', 'human', 'rights', 'violations', 'in', 'the', 'ne', 'states', 'on', 'nov', '17']
['if', 'there', 'is', 'value', 'buyers', 'will', 'find', 'you', 'in', 'the', 'middle', 'of', 'ocean', 'in', 'the', 'dead', 'of', 'the', 'night', 'siddharth', 'oberoi', 'prudent', 'equity']
['after', 'winning', '9', 'out', 'of', '9', 'matches', 'india', 'face', 'a', 'tricky', 'new', 'zealand', 'in', 'the', 'semifinal', 'today']
['best', '25', 'litre', 'geysers', 'in', 'india']
['cricket', 'world', 'cup', 'boost', 'missing', 'for', 'hotels', 'an', 'industry', 'veteran', 'explains', 'why']
['foreign', 'brands', 'bet', 'big', 'on', 'bharats', 'bulging', 'wallets']
['msci', 'rejig', '42', 'stocks', 'find', 'place', 'in', 'smallcap', 'index', 'vodafone', 'idea', 'out']
['cong', 'raises', 'questions', 'on', 'release', 'of', 'pm', 'kisan', 'instalment', 'two', 'days', 'ahead', 'of', 'mp', 'chhattisgarh', 'polls']
['telecom', 'tech', 'companies', 'will', 'inevitably', 'twin', 'to', 'beat', 'low', 'arpu', 'red', 'hat', 'tech', 'chief']
['cairns', 'storm', 'to', 'guptills', 'bullseye', 'five', 'instances', 'when', 'india', 'faced', 'nz', 'curse']
['prs', 'biki', 'oberoi', 'a', 'legend', 'in', 'his', 'own', 'lifetime']
['manappuram', 'finance', 'shares', 'jump', '10', 'on', 'q2', 'earnings']
['joe', 'biden', 'has', 'points', 'to', 'prove', 'as', 'he', 'meets', 'xi', 'jinping', 'on', 'wednesday']
['tata', 'tech', 'ipo', 'to', 'open', 'on', 'nov', '22', 'nearly', '20', 'years', 'after', 'tcs', 'listing']
['ppf', 'account', 'nine', 'important', 'public', 'provident', 'fund', 'account', 'rules', 'and', 'benefits']
['rbi', 'fintech', 'department', 'gets', 'a', 'new', 'boss', 'in', 'p', 'vasudevan']
['vijayendras', '3', 'challenges', 'winning', 'over', 'colleagues', 'making', 'bjp', 'fighting', 'fit', 'for', 'lok', 'sabha', 'polls']
['soft', 'us', 'inflation', 'data', 'drives', 'sensex', 'over', '500', 'points', 'higher', 'nifty', 'above', '19600']
['india', 'a', 'plus', 'one', 'location', 'as', 'manufacturers', 'decouple', 'global', 'supply', 'chains', 'rockwell', 'automation']
