['bangladesh', 'claims', 'it', 'has', 'identified', 'dhaka', 'cafe', 'attack', 'mastermind']
['ril', 'bp', 'spend', 'rs', '4500', 'crore', 'to', 'maintain', 'gas', 'output', 'at', 'kg', 'd6']
['forever', 'mark', 'eyes', '30', 'per', 'cent', 'sales', 'growth', 'in', 'india', 'this', 'year']
['steel', 'demand', 'to', 'grow', '6', 'per', 'cent', 'in', 'fy17', 'outlook', 'bright', 'jsw', 'steel']
['wagh', 'bakri', 'eyes', 'rs', '1150', 'crore', 'turnover', 'this', 'fiscal']
['himalaya', 'plans', 'scaling', 'up', 'e', 'com', 'biz', 'targets', 'rs', '100', 'crore', 'by', '2018']
['neeraj', 'chopra', 'wins', 'javelin', 'gold', 'with', 'new', 'u', '20', 'world', 'record']
['telcos', 'seek', 'clarity', 'in', 'gst', 'on', 'value', 'added', 'services']
['apj', 'abdul', 'kalam', 'drafted', 'two', 'contrasting', 'speeches', 'on', '2012', 'presidential', 'poll', 'decision', 'aide']
['25', 'years', 'in', 'prison', 'and', 'counting', 'devendra', 'nath', 'rais', 'endless', 'road', 'to', 'justice']
['finance', 'minister', 'arun', 'jaitley', 'asks', 'profit', 'making', 'psus', 'to', 'consider', 'stock', 'split']
['ioc', 'in', 'talks', 'to', 'buy', 'gspcs', 'stake', 'in', 'mundra', 'lng', 'terminal']
['narsingh', 'yadav', 'fails', 'dope', 'test', 'rio', 'participation', 'doubtful']
['rio', 'olympics', 'will', 'the', 'biggest', 'contingent', 'of', 'indian', 'athletes', 'result', 'in', 'the', 'highest', 'ever', 'medal', 'haul', 'too']
['two', 'new', 'worlds', 'discovered', 'beyond', 'neptune']
['reliance', 'nippon', 'life', 'insurance', 'launches', 'new', 'offer']
['department', 'of', 'posts', 'fails', 'to', 'pay', 'tax', 'cbec', 'faults', 'officials']
['iirr', 'develops', 'affordable', 'rice', 'based', 'lotion', 'and', 'cream']
['cbi', 'charges', 'ic', '405', 'hijacker', 'harfan', 'maula', 'for', 'cheating']
['states', 'have', 'to', 'use', '10', 'of', 'central', 'fund', 'to', 'repair', 'national', 'highways', 'black', 'spots']
['ngos', 'their', 'executives', 'asked', 'to', 'file', 'assets', 'detail', 'by', 'july', '31']
['global', 'steel', 'prices', 'to', 'soften', 'during', 'jul', 'dec', 'predicts', 'bmi', 'research']
['national', 'conference', 'seeks', 'sustained', 'dialogue', 'with', 'pakistan', 'separatists', 'on', 'kashmir', 'issue']
['supreme', 'court', 'collegium', 'recommends', 'transfer', 'of', 'two', 'judges']
['fipb', 'to', 'consider', '12', 'foreign', 'investment', 'proposals', 'on', 'august', '2']
['cvc', 'widens', 'probe', 'in', 'rs', '580', 'crore', 'excise', 'duty', 'evasion', 'by', 'cadbury']
['curfew', 'continues', 'in', 'five', 'districts', 'of', 'kashmir']
['congress', 'to', 'support', 'to', 'gst', 'only', 'after', 'all', 'concerns', 'are', 'addressed', 'jyotiraditya', 'scindia']
['18', 'cabinet', 'ministers', 'yet', 'to', 'adopt', 'a', 'village', 'under', 'phase', 'ii', 'of', 'sagy']
['7', '5', 'economic', 'growth', 'failed', 'to', 'change', 'peoples', 'lives', 'jean', 'dreze']
['finance', 'ministry', 'allots', 'rs', '2000', 'crore', 'extra', 'budgetary', 'grant', 'for', 'chardham', 'project']
['dda', 'mulls', 'to', 'bring', 'next', 'housing', 'scheme', 'completely', 'online']
['medical', 'council', 'of', 'india', 'may', 'be', 'scrapped', 'soon']
['government', 'fixes', 'year', 'end', 'target', 'of', '100', 'per', 'cent', 'aadhaar', 'linked', 'dbt']
['rail', 'radio', 'service', 'to', 'be', 'launched', 'on', '1000', 'trains']
['gst', 'listing', 'in', 'rajya', 'sabha', 'likely', 'this', 'week', 'fm', 'arun', 'jaitley', 'to', 'meet', 'state', 'fms']
['online', 'market', 'for', 'gold', 'jewellery', 'doesnt', 'glitter']
['and', 'you', 'thought', 'low', 'interest', 'rates', 'can', 'help', 'revive', 'capex', 'or', 'does', 'it', 'work', 'the', 'other', 'way']
['for', 'rj', 'danish', 'sait', 'bengaluru', 'has', 'a', 'better', 'sense', 'of', 'humour', 'than', 'delhi', 'mumbai']
['dalal', 'street', 'week', 'ahead', 'top', 'five', 'events', 'to', 'watch', 'out', 'for', 'this', 'week']
['how', 'failing', 'helps', 'you', 'get', 'starting', 'up', 'right']
['to', 'push', 'reforms', 'ministers', 'took', 'risk', 'responsibility', 'montek', 'singh', 'ahluwalia']
['225', 'killed', 'or', 'missing', 'in', 'china', 'rains', '2', '5', 'lakh', 'people', 'trapped']
['pils', 'flourished', 'during', 'justice', 'krishna', 'iyers', 'time', 'says', 'new', 'book']
['world', 'rings', 'asbestos', 'alarm', 'india', 'ignorant', 'about', 'cancer', 'causing', 'agent']
['are', 'indias', 'tiger', 'numbers', 'inflated']
['world', 'is', 'looking', 'to', 'india', 'for', 'solutions', 'irrfan', 'khan']
['devendra', 'nath', 'rais', 'case', 'most', 'worrying', 'is', 'lack', 'of', 'institutional', 'response', 'anup', 'surendranath']
['lt', 'infotech', 'is', 'a', 'miss', 'for', 'us', 'urmil', 'shah', 'idbi']
['bjp', 'is', 'a', 'contender', 'but', 'sp', 'is', 'ahead', 'says', 'aparna', 'yadav', 'daughter', 'in', 'law', 'of', 'mulayam', 'singh', 'yadav']
['some', 'problems', 'can', 'be', 'fixed', 'by', 'only', 'a', 'strong', 'man', 'like', 'trump', 'believe', 'some', 'us', 'voters']
['world', 'heritage', 'list', 'other', 'sites', 'that', 'made', 'the', 'cut']
['monsoon', 'cravings', 'from', 'samosas', 'to', 'rasam', 'a', 'look', 'at', 'the', 'food', 'that', 'goes', 'best', 'with', 'the', 'rains']
['madhya', 'pradesh', 'is', 'no', 'longer', 'a', 'bimaru', 'state', 'shivraj', 'singh', 'chouhan']
['why', 'harry', 'potter', 'is', 'making', 'headlines']
['et', 'recommendations', 'gadget', 'game', 'app']
['automation', 'digitisation', 'to', 'affect', 'careers', 'impact', 'job', 'security']
['gone', 'in', '80', 'minutes', 'how', 'old', 'cars', 'are', 'dismantled']
['policeman', 'injured', 'in', 'attack', 'dies', 'toll', 'in', 'kashmir', 'unrest', '46']
['pnb', 'housing', 'fin', 'readies', 'ipo', 'heads', 'to', 'tier', '2', '3', 'cities']
['centre', 'gives', 'nod', 'to', 'mcls', 'coal', 'washery', 'project', 'in', 'odisha']
['india', 'born', 'muslim', 'cop', 'security', 'in', 'charge', 'of', 'hindu', 'temple', 'in', 'us']
['worlds', 'most', 'sensitive', 'detector', 'fails', 'to', 'find', 'dark', 'matter']
['people', 'of', 'up', 'have', 'made', 'up', 'their', 'mind', 'expect', 'a', 'miracle', 'raj', 'babbar']
['fpis', 'buy', 'shares', 'worth', 'rs', '17000', 'crore', 'in', '16', 'sensex', 'companies', 'in', 'q1']
['declare', 'black', 'money', 'by', 'september', '30', 'or', 'face', 'action', 'pm', 'narendra', 'modi']
['jmatek', 'plans', 'to', 'make', 'india', 'its', 'export', 'hub', 'for', 'south', 'east', 'asia', 'africa']
['donald', 'trump', 'finds', 'huge', 'support', 'system', 'among', 'indian', 'americans']
['tamil', 'nadu', 'tops', 'urban', 'net', 'subscriber', 'numbers', 'maharashtra', 'delhi', 'tied', 'in', '2nd', 'spot']
['nse', 'revamps', 'board', 'appoints', 'mohandas', 'pai', '2', 'others', 'as', 'directors']
['government', 'seeks', 'applications', 'for', 'bankruptcy', 'board', 'chief']
['narendra', 'modi', 'government', 'needs', 'to', 'win', 'hearts', 'of', 'kashmiri', 'people', 'jyotiraditya', 'scindia']
['toonz', 'retail', 'eyes', 'rs', '100', 'cr', 'sales', 'by', 'fy18']
['government', 'to', 'provide', 'training', 'to', '10', 'lakh', 'unemployed', 'engineers', 'in', '3', 'years']
['swaraj', 'abhiyan', 'likely', 'to', 'decide', 'on', 'floating', 'party', 'on', 'july', '31']
['sq', 'ft', 'range', 'good', 'investment', 'jll']
['boeing', 'to', 'deliver', '2', 'dreamliners', 'to', 'air', 'india', 'this', 'year']
['tim', 'kaine', 'makes', 'debut', 'as', 'clinton', 'running', 'mate']
