['coeai', 'we', 'are', 'open', 'to', 'talks', 'with', 'karan', 'johar']
['trai', 'suggests', 'rs', '3150', 'crore', 'penalty', 'on', 'bharti', 'idea', 'vodafone', 'for', 'violating', 'quality', 'of', 'service', 'rules']
['soccer', 'argentine', 'championship', 'results', 'and', 'standings']
['donald', 'trump', 'is', 'threatening', 'us', 'democracy', 'hillary', 'clinton']
['nfl', 'national', 'football', 'league', 'roundup']
['rosberg', 'dominates', 'first', 'day', 'of', 'practice']
['motor', 'racing', 'ferrari', 'climate', 'of', 'fear', 'old', 'story', 'says', 'arrivabene']
['update', '1', 'soccer', 'portuguese', 'championship', 'results', 'and', 'standings']
['rosberg', 'on', 'top', 'after', 'first', 'day', 'of', 'u', 's', 'practice']
['soccer', 'ligue', '1', 'summaries']
['rugby', 'european', 'rugby', 'champions', 'cup', 'group', 'stage', 'results', 'and', 'standings']
['soccer', 'ligue', '1', 'top', 'scorers']
['black', 'money', 'prosecution', 'proceedings', 'likely', 'to', 'fail']
['gmr', 'airport', 'arm', 'raises', '522', 'million', 'from', 'international', 'investors', 'via', 'bond', 'issue']
['soccer', 'bundesliga', 'results', 'and', 'standings']
['can', 'hamilton', 'start', 'a', 'new', 'winning', 'streak']
['soccer', 'dutch', 'championship', 'summaries']
['update', '1', 'soccer', 'czech', 'championship', 'results', 'and', 'standings']
['lodha', 'committee', 'to', 'check', 'with', 'icc', 'on', 'request', 'to', 'intervene']
['at', 'amazon', 'this', 'festive', 'sale', 'season', 'is', 'about', 'work', 'and', 'learn']
['akhilesh', 'yadav', 'skips', 'meet', 'where', 'shivpal', 'declares', 'him', 'cm', 'nominee']
['cert', 'in', 'had', 'instructed', 'banks', 'on', 'october', '7', 'to', 'be', 'on', 'alert', 'in', 'wake', 'of', 'surgical', 'strikes']
['state', 'bank', 'of', 'india', 'to', 'replace', 'students', 'debit', 'cards', 'first']
['as', 'a', 'group', 'we', 'are', '80', 'years', 'old', 'but', 'as', 'a', 'industry', 'we', 'are', 'about', '40', 'years', 'old', 'devansh', 'jain']
['pretty', 'confident', 'about', 'revenue', 'guidance', 'hcl', 'ceo']
['put', 'on', 'the', 'bling', 'heres', 'how', 'to', 'add', 'the', 'wow', 'factor', 'to', 'your', 'festive', 'look']
['soccer', 'mourinho', 'returning', 'to', 'chelsea', 'with', 'no', 'bad', 'feelings']
['soccer', 'slovenian', 'championship', 'results', 'and', 'standings']
['unusual', '19', 'mln', 'stealth', 'boat', 'struggles', 'to', 'find', 'buyers']
['arun', 'jaitley', 'asks', 'banks', 'to', 'limit', 'data', 'theft', 'fallout']
['india', 'and', 'pakistan', 'are', 'not', 'at', 'the', 'brink', 'of', 'war', 'omar', 'abdullah']
['sun', 'pharma', 'completes', 'divestment', 'of', '7', 'brands', 'to', 'rpg']
['congress', 'divided', 'over', 'sidhu', 'and', 'his', 'bargaining', 'ways']
['reform', 'dont', 'kill', 'locals', 'caught', 'in', 'militancy', 'mehbooba', 'mufti']
['shocking', 'level', 'of', 'pollution', 'in', 'india', 'and', 'china', 'says', 'scott', 'kelly']
['agriculture', 'ministry', 'prepares', 'contract', 'farming', 'act']
['supreme', 'court', 'backs', 'nppa', 'on', 'capping', 'drug', 'prices']
['infosys', 'says', 'it', 'has', 'nothing', 'to', 'hide', 'on', 'severance', 'pay', 'to', 'former', 'cfo', 'rajiv', 'bansal']
['proposals', 'undermining', 'innovators', 'wont', 'help', 'india', 'us', 'chambers', 'of', 'commerce']
['big', 'setback', 'for', 'sp', 'if', 'akhilesh', 'not', 'cm', 'face', 'shivpals', 'son', 'aditya']
['all', 'ration', 'shops', 'to', 'turn', 'into', 'business', 'correspondents']
['schiaparelli', 'mars', 'lander', 'might', 'have', 'exploded', 'on', 'impact', 'esa']
['reserve', 'bank', 'of', 'india', 'to', 'meet', 'top', 'bankers', 'on', 'classifying', 'bad', 'loans']
['betting', 'on', 'infosys', 'and', 'tech', 'mahindra', 'sachin', 'shah', 'emkay', 'investment', 'managers']
['dont', 'let', 'the', 'intimidating', 'question', 'go', 'unchallenged']
['infrastructure', 'giants', 'including', 'gmr', 'highways', 'essel', 'infraprojects', 'seek', 'tickets', 'to', 'redevelop', 'railway', 'stations']
['pmo', 'pushes', 'ministries', 'to', 'expedite', 'noc', 'for', 'leh', 'transmission', 'line']
['soccer', 'japanese', 'championship', 'second', 'stage', 'results', 'and', 'standings']
['scheduled', 'castes', 'commission', 'head', 'accuses', 'enquiry', 'panel', 'of', 'bias', 'on', 'vemula', 'probe']
['top', 'five', 'takeaways', 'from', 'wipro', 'q2', 'results', 'for', 'investors']
