['chit', 'fund', 'scams', 'rs', '80000', 'crore', 'and', 'counting']
['dgca', 'mulls', 'easing', 'aircraft', 'import', 'norms', 'import', 'of', 'planes', 'up', 'to', '18', 'years', 'old', 'may', 'be', 'allowed']
['hereswhere', 'things', 'stand', 'between', 'paytm', 'and', 'snapdeals', 'unicommerce']
['fpis', 'stay', 'bullish', 'on', 'india', 'pump', 'in', '2', 'billion', 'in', 'april']
['labourers', 'in', 'ananthapuram', 'risk', 'life', 'in', '44c', 'heat']
['q4', 'earnings', 'to', 'steer', 'market', 'volatility', 'may', 'be', 'seen']
['sachin', 'tendulkar', 'imparts', 'cricket', 'education', 'to', 'kids', 'on', '43rd', 'birthday']
['technology', 'needed', 'in', 'every', 'aspect', 'of', 'hr', 'say', 'experts']
['tilda', 'swinton', 'compares', 'prince', 'to', 'mozart']
['delhi', 'high', 'court', 'restrains', 'firm', 'from', 'using', 'paytms', 'logo']
['reliance', 'buys', 'iranian', 'oil', 'after', 'six', 'year', 'hiatus']
['supreme', 'court', 'nominally', 'signs', 'off', 'on', 'uttarakhand', 'presidents', 'rule', 'issue']
['pollution', 'comes', 'from', 'trucks', 'industries', 'diesel', 'generators', 'and', 'open', 'burning']
['how', 'indians', 'are', 'coping', 'with', 'the', 'hottest', 'april', 'in', 'five', 'years']
['donald', 'trump', 'mocks', 'indian', 'call', 'center', 'but', 'says', 'india', 'a', 'great', 'nation']
['plays', 'and', 'places', 'of', 'shakespeare', 'in', 'stratford', 'upon', 'avon']
['six', 'member', 'panel', 'to', 'study', 'congestion', 'during', 'odd', 'even', 'scheme']
['feminine', 'sexual', 'products', 'market', 'on', 'the', 'cusp', 'of', 'an', 'opportunity']
['restaurants', 'ride', 'the', 'farm', 'to', 'fork', 'wave']
['frame', 'your', 'idea', 'a', 'platform', 'for', 'creative', 'ideas']
['kashmir', 'lacks', 'social', 'communication', 'not', 'just', 'a', 'law', 'and', 'order', 'issue']
['western', 'instruments', 'add', 'new', 'life', 'to', 'kashmiri', 'folk', 'music']
['all', 'you', 'need', 'to', 'know', 'about', 'mobile', 'first', 'publishing', 'startup', 'juggernaut']
['if', 'delhi', 'wants', 'to', 'breathe', 'easy', 'odd', 'even', 'has', 'to', 'stay']
['international', 'solar', 'alliance', 'vows', 'to', 'lower', 'finance', 'cost', 'talks', 'of', '1', 'tn', 'investment']
['why', 'malegaon', 'blasts', 'witnesses', 'and', 'accused', 'are', 'retracting', 'statements', 'in', 'court']
['differential', 'pricing', 'in', 'cabs', 'can', 'ensure', 'optimum', 'use', 'of', 'available', 'capacity']
['et', 'recommendation', 'latest', 'gadgets', 'and', 'apps']
['flight', 'test', 'of', 'rlv', 'td', 'next', 'month', 'end', 'as', 'kiran', 'kumar', 'isro', 'chief']
['a', 'moral', 'rule', 'book', 'for', 'our', 'rulers']
['aaps', 'gopal', 'rai', 'happy', 'with', 'delhi', 'making', 'sacrifices']
['lets', 'talk', 'about', 'how', 'produnova', 'helped', 'dipa', 'karmakar', 'make', 'it', 'to', 'rio']
['third', 'year', 'of', 'drought', 'in', 'wardha', 'vidarbha']
['all', 'about', 'ecuador']
['arvind', 'kejriwals', 'principal', 'secretary', 'rajendra', 'kumars', 'laptop', 'ipad', 'sent', 'for', 'forensic', 'test', 'cbi', 'tells', 'court']
['broke', 'vijay', 'mallya', 'bought', 'property', 'worth', '10', 'million', 'in', 'trump', 'plaza', 'last', 'month', 'tv', 'reports']
['indian', 'origin', 'doctor', 'who', 'attacked', 'uber', 'driver', 'fired', 'from', 'job']
['gst', 'to', 'pave', 'way', 'for', 'better', 'e', 'commerce', 'will', 'be', 'a', 'game', 'changer', 'for', 'economy', 'cii', 'deloitte', 'report']
['modi', 'government', 'all', 'about', 'selfies', 'jumlas', 'kanhaiya', 'kumar']
['punjabi', 'gujarati', 'bengali', 'continue', 'to', 'be', 'taught', 'in', 'uk', 'schools']
['bank', 'of', 'maharashtra', 'sees', 'gross', 'npas', 'hovering', 'around', '8', 'in', 'fy16']
['india', 'trims', 'american', 'govt', 'securities', 'exposure', 'to', '118', '8', 'billion']
['investors', 'interested', 'in', 'acquiring', 'stake', 'in', 'company', 'sunedison', 'india']
['yogeshwar', 'dutt', 'slams', 'salman', 'khans', 'appointment', 'as', 'indian', 'olympic', 'contingents', 'goodwill', 'ambassador']
['railways', 'to', 'have', 'automatic', 'coach', 'washing', 'plants', 'to', 'save', 'water']
['punjab', 'infra', 'board', 'ratings', 'not', 'impacted', 'by', 'food', 'scam', 'icra']
['himachal', 'pradesh', 'to', 'woo', 'private', 'investors', 'in', 'tourism', 'sector', 'virbhadra', 'singh']
['e', 'commerce', 'boom', 'investors', 'turn', 'focus', 'to', 'profitable', 'growth']
['n', 'chandrababu', 'naidu', 'to', 'declare', 'andhra', 'pradesh', 'as', '100', 'household', 'electrification', 'state']
['india', 'can', 'achieve', '8', '10', 'growth', 'in', 'three', 'years', 'arvind', 'subramanian', 'cea']
['bjp', 'mocks', 'nitish', 'kumar', 'for', 'sangh', 'mukt', 'bharat', 'call']
['central', 'government', 'schemes', 'may', 'soon', 'have', 'pm', 'prefixed', 'to', 'them']
