headlines,headline_text
"['tenth', 'round', 'of', 'commercial', 'coal', 'block', 'auction', 'to', 'kick', 'off', 'next', 'week']",tenth round of commercial coal block auction to kick off next week
"['best', 't', 'shirts', 'for', 'men', 'under', '2000']",best t shirts for men under 2000
"['first', 'timers', 'usa', 'knock', 'out', 'pakistan', 'join', 'india', 'in', 't20', 'world', 'cup', 'super', 'eight']",first timers usa knock out pakistan join india in t20 world cup super eight
"['bmc', 'says', 'not', 'appropriate', 'to', 'issue', 'stop', 'work', 'notice', 'to', 'godrej', 'properties', 'kandivali', 'project']",bmc says not appropriate to issue stop work notice to godrej properties kandivali project
"['wholesale', 'inflation', 'surges', 'to', '15', 'month', 'high', 'of', '2', '61', 'in', 'may']",wholesale inflation surges to 15 month high of 2 61 in may
"['third', 'eye', 'sharad', 'pawar', 'ready', 'to', 'hit', 'back', 'dice', 'turns', 'in', 'pp', 'suneers', 'favour', 'in', 'kerala', 'two', 'rules', 'for', 'two', 'allies', 'in', 'maharashtra']",third eye sharad pawar ready to hit back dice turns in pp suneers favour in kerala two rules for two allies in maharashtra
"['union', 'home', 'minister', 'amit', 'shah', 'to', 'review', 'jk', 'amarnath', 'security', 'on', 'sunday']",union home minister amit shah to review jk amarnath security on sunday
"['gather', 'the', 'drops', 'make', 'a', 'wave']",gather the drops make a wave
"['who', 'will', 'be', 'the', 'next', 'james', 'bond', 'everything', 'you', 'may', 'like', 'to', 'know']",who will be the next james bond everything you may like to know
"['us', 'court', 'levies', '194', 'million', 'penal', 'charges', 'on', 'tcs', 'for', 'misappropriation', 'of', 'trade', 'secrets']",us court levies 194 million penal charges on tcs for misappropriation of trade secrets
"['trai', 'wont', 'charge', 'users', 'for', 'multiple', 'sims']",trai wont charge users for multiple sims
"['is', 'it', 'possible', 'to', 'house', 'a', 'trillion', 'people', 'in', 'space', 'jeff', 'bezoss', 'vision', 'may', 'run', 'into', 'rough', 'weather']",is it possible to house a trillion people in space jeff bezoss vision may run into rough weather
"['raveena', 'tandon', 'sends', 'defamation', 'notice', 'to', 'man', 'for', 'fake', 'road', 'rage', 'video']",raveena tandon sends defamation notice to man for fake road rage video
"['plea', 'seeks', 'cbi', 'probe', 'into', 'neet', 'exam', 'paper', 'leak', 'malpractices']",plea seeks cbi probe into neet exam paper leak malpractices
"['gst', 'council', 'may', 'cut', 'upfront', 'payment', 'for', 'tax', 'appeal', 'to', '7']",gst council may cut upfront payment for tax appeal to 7
"['rss', 'chief', 'mohan', 'bhagwat', 'likely', 'to', 'meet', 'up', 'cm', 'adityanath', 'in', 'gorakhpur', 'today']",rss chief mohan bhagwat likely to meet up cm adityanath in gorakhpur today
"['munjya', 'star', 'sharvari', 'wagh', 'to', 'headline', 'female', 'led', 'spy', 'movie', 'with', 'alia', 'bhatt', 'calls', 'it', 'a', 'big', 'responsibility']",munjya star sharvari wagh to headline female led spy movie with alia bhatt calls it a big responsibility
"['tv', 'star', 'drashti', 'dhami', 'expecting', 'first', 'child', 'with', 'husband', 'neeraj', 'khemka']",tv star drashti dhami expecting first child with husband neeraj khemka
"['informal', 'manufacturing', 'and', 'services', 'gained', 'during', 'fy23', 'trade', 'share', 'declined', 'govt', 'data']",informal manufacturing and services gained during fy23 trade share declined govt data
"['the', 'boys', 'season', '4', 'will', 'a', 'train', 'survive', 'this', 'season', 'heres', 'what', 'we', 'know']",the boys season 4 will a train survive this season heres what we know
"['ajay', 'devgns', 'singham', 'again', 'to', 'now', 'release', 'on', 'diwali', '2024']",ajay devgns singham again to now release on diwali 2024
"['aliens', 'ufos', 'are', 'real', 'donald', 'trump', 'reveals', 'shocking', 'details']",aliens ufos are real donald trump reveals shocking details
"['india', 'cuts', 'windfall', 'tax', 'on', 'petroleum', 'crude']",india cuts windfall tax on petroleum crude
"['airtel', 'prepays', 'rs', '7904', 'cr', 'to', 'clear', 'all', 'spectrum', 'dues']",airtel prepays rs 7904 cr to clear all spectrum dues
