headlines,headline_text
"['6', 'of', '7', 'defence', 'companies', 'carved', 'out', 'of', 'ofb', 'report', 'provisional', 'profits', 'in', 'initial', '6', 'months', 'of', 'operation']",6 of 7 defence companies carved out of ofb report provisional profits in initial 6 months of operation
"['no', 'answer', 'to', 'discontent']",no answer to discontent
"['up', 'toning', 'down', 'on', 'a', 'loud', 'problem']",up toning down on a loud problem
"['lease', 'no', 'office', 'of', 'profit', 'case', 'sorens', 'advisors']",lease no office of profit case sorens advisors
"['bjp', 'congress', 'blame', 'each', 'other', 'as', 'power', 'outages', 'worsen', 'in', 'india']",bjp congress blame each other as power outages worsen in india
"['deemed', 'to', 'be', 'varsities', 'to', 'face', 'overhaul', 'again']",deemed to be varsities to face overhaul again
"['big', 'tech', 'through', 'a', 'scanner', 'wisely']",big tech through a scanner wisely
"['mayday', 'mayday', 'its', 'may', 'day', 'tomorrow']",mayday mayday its may day tomorrow
"['aap', 'launches', 'village', 'level', 'recruitment', 'drive', 'in', 'haryana']",aap launches village level recruitment drive in haryana
"['china', 'built', 'drone', 'shot', 'down', 'on', 'punjab', 'border']",china built drone shot down on punjab border
"['pm', 'modi', 'launches', 'global', 'patidar', 'business', 'summit', 'in', 'surat']",pm modi launches global patidar business summit in surat
"['centre', 'initiates', 'talks', 'on', 'creating', '4', 'sub', 'sections', 'in', 'obc', 'reservation']",centre initiates talks on creating 4 sub sections in obc reservation
"['strong', 'networking', 'skills', 'propel', 'big', 'tech', 'companies', 'to', 'global', 'dominance']",strong networking skills propel big tech companies to global dominance
"['view', 'with', 'an', 'eruption', 'in', 'the', 'spirits', 'portfolio', 'the', 'consumer', 'is', 'far', 'more', 'experimental', 'and', 'progressively', 'cognisant']",view with an eruption in the spirits portfolio the consumer is far more experimental and progressively cognisant
"['view', 'for', 'growth', 'at', 'an', '8', 'plus', 'clip', 'india', 'must', 'fire', 'on', 'all', 'cylinders', 'not', 'just', 'services', 'or', 'manufacturing']",view for growth at an 8 plus clip india must fire on all cylinders not just services or manufacturing
"['china', 'to', 'permit', 'some', 'indian', 'students', 'to', 'return', 'chinese', 'foreign', 'ministry']",china to permit some indian students to return chinese foreign ministry
"['district', 'court', 'grants', 'bail', 'to', 'gujarat', 'mla', 'jignesh', 'mevani', 'slams', 'assam', 'police']",district court grants bail to gujarat mla jignesh mevani slams assam police
"['power', 'situation', 'in', 'whole', 'of', 'india', 'grave', 'delhi', 'govt', 'somehow', 'handling', 'situation', 'cm', 'arvind', 'kejriwal']",power situation in whole of india grave delhi govt somehow handling situation cm arvind kejriwal
"['swiggy', 'to', 'pilot', 'drone', 'based', 'deliveries', 'for', 'its', 'grocery', 'service', 'instamart']",swiggy to pilot drone based deliveries for its grocery service instamart
"['micron', 'to', 'hire', 'over', '1800', 'engineers', 'in', 'three', 'years']",micron to hire over 1800 engineers in three years
"['esophageal', 'cancer', 'causes', 'genetic', 'changes', 'in', 'patients', 'study', 'reveals']",esophageal cancer causes genetic changes in patients study reveals
"['states', 'doling', 'out', 'competitive', 'subsidies', 'on', 'brink', 'of', 'fiscal', 'collapse', 'report']",states doling out competitive subsidies on brink of fiscal collapse report
"['rare', 'black', 'moon', 'first', 'solar', 'eclipse', 'of', 'the', 'year', 'and', 'venus', 'jupiter', 'conjunction', 'to', 'be', 'visible', 'this', 'weekend']",rare black moon first solar eclipse of the year and venus jupiter conjunction to be visible this weekend
"['smartphone', 'outlook', 'grim', 'amid', 'inflation', 'high', 'device', 'prices']",smartphone outlook grim amid inflation high device prices
"['ntagi', 'panel', 'recommends', 'inclusion', 'of', 'covovax', 'in', 'vaccination', 'drive', 'for', '12', '17', 'age', 'group']",ntagi panel recommends inclusion of covovax in vaccination drive for 12 17 age group
"['need', 'to', 'increase', 'coordination', 'between', 'sarkar', 'and', 'sangathan', 'rss', 'leaders', 'flag', 'issues', 'in', 'mp', 'party', 'meet']",need to increase coordination between sarkar and sangathan rss leaders flag issues in mp party meet
"['fan', 'expo', 'cleveland', '2022', 'celebrate', 'sci', 'fi', 'comics', 'horror', 'anime', 'gaming', 'with', 'favorite', 'celebrities', 'this', 'weekend']",fan expo cleveland 2022 celebrate sci fi comics horror anime gaming with favorite celebrities this weekend
"['chinese', 'crackdown', 'on', 'tech', 'giants', 'show', 'signs', 'of', 'easing', 'alibaba', 'baidu', 'jd', 'com', 'surge']",chinese crackdown on tech giants show signs of easing alibaba baidu jd com surge
"['nagaland', '21', 'npf', 'mlas', 'join', 'ndpp']",nagaland 21 npf mlas join ndpp
"['antarctica', 'experiences', 'a', 'massive', 'earthquake', 'swarm', 'as', 'an', 'inactive', 'volcano', 'erupts']",antarctica experiences a massive earthquake swarm as an inactive volcano erupts
"['coal', 'india', 'logs', 'impressive', '27', 'per', 'cent', 'production', 'growth', 'in', 'april']",coal india logs impressive 27 per cent production growth in april
"['india', 'could', 'take', 'more', 'than', 'a', 'decade', 'to', 'overcome', 'the', 'losses', 'caused', 'by', 'covid', '19', 'disruptions', 'rbi', 'report']",india could take more than a decade to overcome the losses caused by covid 19 disruptions rbi report
"['indian', 'french', 'armies', 'hold', 'staff', 'talks', 'to', 'boost', 'cooperation']",indian french armies hold staff talks to boost cooperation
"['200', 'bps', 'rate', 'hike', 'by', 'q3', 'inflation', 'weak', 'capex', 'negatives', 'to', 'growth', 'nomura']",200 bps rate hike by q3 inflation weak capex negatives to growth nomura
"['iphone', '14', 'pro', 'display', 'panel', 'to', 'feature', 'pill', 'and', 'hole', 'design', 'leaks', 'reveal', 'new', 'notch']",iphone 14 pro display panel to feature pill and hole design leaks reveal new notch
