headlines,headline_text
"['reliance', 'retail', 'starts', 'test', 'launch', 'of', 'shein', 'labels', 'on', 'ajio', 'platform']",reliance retail starts test launch of shein labels on ajio platform
"['nyt', 'mini', 'crossword', 'dec', '23', 'answers', 'and', 'hints', 'to', 'solve', 'the', 'challenge', 'in', 'a', 'few', 'minutes']",nyt mini crossword dec 23 answers and hints to solve the challenge in a few minutes
"['matt', 'gaetzs', 'wife', 'ginger', 'the', 'woman', 'standing', 'strong', 'amid', 'his', 'sexual', 'misconduct', 'allegations']",matt gaetzs wife ginger the woman standing strong amid his sexual misconduct allegations
"['filmmaker', 'shyam', 'benegal', 'passes', 'away', 'at', 'the', 'age', 'of', '90']",filmmaker shyam benegal passes away at the age of 90
"['will', 'broadcoms', 'stock', 'to', 'overtake', 'nvidia', 'heres', 'what', 'experts', 'about', 'the', '2025', 'ai', 'race']",will broadcoms stock to overtake nvidia heres what experts about the 2025 ai race
"['prestige', 'valor', 'rc', 'group', 'in', 'talks', 'for', 'rs', '7000', 'cr', 'public', 'housing', 'redevelopment', 'deal']",prestige valor rc group in talks for rs 7000 cr public housing redevelopment deal
"['abbvie', 'healthcare', 'under', 'government', 'lens', 'for', 'violations']",abbvie healthcare under government lens for violations
"['andhra', 'govt', 'approves', 'roadworks', 'worth', 'rs', '2723', 'crore', 'in', 'amaravati']",andhra govt approves roadworks worth rs 2723 crore in amaravati
"['suits', 'sayings', 'meri', 'aawaz', 'suno']",suits sayings meri aawaz suno
"['does', 'king', 'charles', 'have', 'prostrate', 'cancer', 'heres', 'the', 'reason', 'he', 'is', 'not', 'revealing', 'what', 'type', 'of', 'the', 'disease', 'he', 'has']",does king charles have prostrate cancer heres the reason he is not revealing what type of the disease he has
"['govt', 'weighs', 'junking', 'customs', 'relief', 'in', 'make', 'in', 'india', 'push']",govt weighs junking customs relief in make in india push
"['5g', 'user', 'gains', 'trai']",5g user gains trai
"['coai', 'flags', 'burdensome', 'qos', 'norms', 'calls', 'for', 'regulation', 'of', 'ott', 'players']",coai flags burdensome qos norms calls for regulation of ott players
"['apple', 'nears', 'historic', '4', 'trillion', 'milestone', 'ahead', 'of', 'nvidia', 'microsoft', 'now', 'bigger', 'than', 'combined', 'value', 'of', '2', 'countries', 'stock', 'markets']",apple nears historic 4 trillion milestone ahead of nvidia microsoft now bigger than combined value of 2 countries stock markets
"['is', 'your', 'job', 'offer', 'a', 'scam', 'heres', 'what', 'you', 'should', 'know', 'if', 'a', 'company', 'demands', 'security', 'deposits', 'or', 'blank', 'cheques']",is your job offer a scam heres what you should know if a company demands security deposits or blank cheques
"['mg', 'motor', 'india', 'launches', 'new', 'luxury', 'brand', 'teases', 'electric', 'roadster']",mg motor india launches new luxury brand teases electric roadster
"['rural', 'fmcg', 'growth', 'slows', 'as', 'wheat', 'flour', 'demand', 'drops', 'kantar', 'report']",rural fmcg growth slows as wheat flour demand drops kantar report
