headlines,headline_text
"['and', 'heres', 'another', 'god', 'given', 'politician']",and heres another god given politician
"['pope', 'francis', 'says', 'worlds', 'democracies', 'in', 'bad', 'health']",pope francis says worlds democracies in bad health
"['after', 'fresh', 'evidence', 'centre', 'to', 'ban', 'sikhs', 'for', 'justice', 'for', 'another', '5', 'years']",after fresh evidence centre to ban sikhs for justice for another 5 years
"['new', 'uk', 'pm', 'keir', 'starmer', 'seeks', 'reset', 'after', 'victory']",new uk pm keir starmer seeks reset after victory
"['mission', 'impossible', '8', 'dead', 'reckoning', 'part', '2', 'benji', 'dunn', 'aka', 'simon', 'pegg', 'reveals', 'exciting', 'details']",mission impossible 8 dead reckoning part 2 benji dunn aka simon pegg reveals exciting details
"['mallikarjun', 'kharge', 'in', 'kottakkal', 'for', 'ayurvedic', 'treatment']",mallikarjun kharge in kottakkal for ayurvedic treatment
"['hdfc', 'capital', 'bets', 'big', 'on', 'affordable', 'housing', 'to', 'invest', '2', 'billion', 'by', '2025', 'end']",hdfc capital bets big on affordable housing to invest 2 billion by 2025 end
"['prince', 'william', 'documentary', 'we', 'can', 'end', 'homelessness', 'when', 'and', 'where', 'to', 'watch']",prince william documentary we can end homelessness when and where to watch
"['despicable', 'me', '4', 'release', 'date', 'heres', 'when', 'you', 'can', 'stream', 'the', 'movie', 'on', 'netflix', 'in', 'us']",despicable me 4 release date heres when you can stream the movie on netflix in us
"['hamas', 'says', 'its', 'waiting', 'for', 'israeli', 'response', 'on', 'ceasefire', 'proposal']",hamas says its waiting for israeli response on ceasefire proposal
"['search', 'for', 'identity']",search for identity
"['something', 'is', 'rotten', 'in', 'the', 'state', 'of', 'bihar']",something is rotten in the state of bihar
"['congress', 'mp', 'imran', 'masood', 'opposes', 'chandrashekhar', 'azads', 'namaz', 'on', 'street', 'statement']",congress mp imran masood opposes chandrashekhar azads namaz on street statement
"['indian', 'submarines', 'set', 'for', 'indigenous', 'edge', 'in', 'open', 'seas']",indian submarines set for indigenous edge in open seas
"['bjps', 'up', 'leaders', 'workers', 'discuss', 'poor', 'coordination', 'anti', 'incumbency', 'against', 'mps']",bjps up leaders workers discuss poor coordination anti incumbency against mps
"['will', 'it', 'be', 'a', 'congress', 'budget', 'goi']",will it be a congress budget goi
"['paytm', 'bank', 'auditor', 'lock', 'horns', 'over', 'biz', 'viability']",paytm bank auditor lock horns over biz viability
"['regional', 'films', 'rule', 'box', 'office', 'hindi', 'lose', 'the', 'script', 'chasing', 'money']",regional films rule box office hindi lose the script chasing money
"['cricket', 'influence', 'on', 'maharashtra', 'assembly']",cricket influence on maharashtra assembly
"['keep', 'fine', 'tuning', 'those', 'customs', 'duties']",keep fine tuning those customs duties
"['budget', '2024', 'pharma', 'sector', 'seeks', 'tax', 'sops', 'effective', 'intellectual', 'property', 'rights', 'regime']",budget 2024 pharma sector seeks tax sops effective intellectual property rights regime
"['best', 'moisturizers', 'for', 'your', 'face', 'to', 'get', 'that', 'shine', 'and', 'smoothness', 'on', 'your', 'skin']",best moisturizers for your face to get that shine and smoothness on your skin
"['under', 'paris', '2', 'will', 'there', 'be', 'a', 'sequel', 'director', 'reveals', 'the', 'future', 'of', 'the', 'franchise']",under paris 2 will there be a sequel director reveals the future of the franchise
"['wolf', 'totem', 'the', 'hu']",wolf totem the hu
"['political', 'parties', 'steer', 'clear', 'of', 'bhole', 'baba', 'only', 'mayawati', 'left', 'train', 'guns', 'at', 'him']",political parties steer clear of bhole baba only mayawati left train guns at him
