headlines,headline_text
"['insight', 'meditation']",insight meditation
"['indias', 'import', 'of', 'cheap', 'teas', 'from', 'kenya', 'nepal', 'and', 'other', 'destinations', 'shot', 'up', 'to', '12', '16', 'million', 'kg', 'in', 'first', 'six', 'months', 'of', '2021']",indias import of cheap teas from kenya nepal and other destinations shot up to 12 16 million kg in first six months of 2021
"['view', 'quad', 'nations', 'need', 'to', 'coordinate', 'their', 'messaging', 'to', 'pose', 'serious', 'challenge', 'to', 'china']",view quad nations need to coordinate their messaging to pose serious challenge to china
"['charanjit', 'singh', 'channi', 'to', 'take', 'oath', 'as', 'punjab', 'cm', 'tomorrow']",charanjit singh channi to take oath as punjab cm tomorrow
"['unwrapping', 'sweet', 'powerful', 'nostalgia']",unwrapping sweet powerful nostalgia
"['punjabs', 'central', 'congress', 'problem']",punjabs central congress problem
"['gst', 'reform', 'still', 'a', 'work', 'in', 'progress']",gst reform still a work in progress
"['up', 'relaxes', 'covid', '19', 'restrictions', 'on', 'wedding', 'cermonies', 'guests', 'upto', '100', 'allowed']",up relaxes covid 19 restrictions on wedding cermonies guests upto 100 allowed
"['view', 'with', 'the', 'enforced', 'resignation', 'of', 'amarinder', 'singh', 'the', 'congress', 'has', 'shot', 'itself', 'in', 'the', 'foot']",view with the enforced resignation of amarinder singh the congress has shot itself in the foot
"['assam', 'cm', 'himanta', 'biswa', 'sarma', 'is', 'likely', 'to', 'meet', 'leadership', 'of', 'the', 'nscn', 'im', 'and', 'nnpgs']",assam cm himanta biswa sarma is likely to meet leadership of the nscn im and nnpgs
"['atos', 'to', 'hire', 'about', '15000', 'people', 'in', 'india', 'over', 'the', 'next', '12', 'months']",atos to hire about 15000 people in india over the next 12 months
"['csk', 'set', 'mi', '157', 'run', 'target', 'as', 'gaikwad', 'rescues', 'side', 'with', 'fiery', '88']",csk set mi 157 run target as gaikwad rescues side with fiery 88
"['charanjit', 'singh', 'channi', 'to', 'be', 'first', 'dalit', 'chief', 'minister', 'of', 'punjab']",charanjit singh channi to be first dalit chief minister of punjab
"['travel', 'made', 'easy', 'irctc', 'launches', 'an', 'airport', 'style', 'executive', 'lounge', 'at', 'new', 'delhi', 'railway', 'station']",travel made easy irctc launches an airport style executive lounge at new delhi railway station
"['education', 'knowledge', 'partnership', 'holds', 'great', 'potential', 'in', 'ties', 'indias', 'us', 'envoy', 'to', 'new', 'indian', 'students', 'in', 'us']",education knowledge partnership holds great potential in ties indias us envoy to new indian students in us
"['congress', 'in', 'touch', 'with', 'bjp', 'mlas', 'says', 'ex', 'cm', 'yediyurappa']",congress in touch with bjp mlas says ex cm yediyurappa
"['over', '1', 'crore', 'informal', 'workers', 'registered', 'on', 'e', 'shram', 'portal']",over 1 crore informal workers registered on e shram portal
"['charanjit', 'singh', 'channi', 'to', 'be', 'punjabs', 'new', 'chief', 'minister']",charanjit singh channi to be punjabs new chief minister
"['syed', 'ali', 'geelani', 'islamist', 'and', 'aspiring', 'pakistani']",syed ali geelani islamist and aspiring pakistani
"['cricket', 'new', 'zealand', 'players', 'reach', 'dubai', 'after', 'credible', 'threat', 'derailed', 'pakistan', 'tour']",cricket new zealand players reach dubai after credible threat derailed pakistan tour
"['ipl', 'dhoni', 'wins', 'toss', 'elects', 'to', 'bat', 'against', 'mumbai', 'indians']",ipl dhoni wins toss elects to bat against mumbai indians
"['india', 'becoming', 'destination', 'country', 'for', 'healthy', 'foods', 'like', 'millets', 'tomar', 'at', 'g', '20', 'agri', 'meet']",india becoming destination country for healthy foods like millets tomar at g 20 agri meet
"['dish', 'tv', 'seeks', 'to', 'extend', 'agm', 'says', 'requires', 'regulatory', 'nod', 'for', 'suggested', 'changes', 'on', 'board']",dish tv seeks to extend agm says requires regulatory nod for suggested changes on board
"['cofounder', 'gaurav', 'guptas', 'exit', 'does', 'not', 'warrant', 'disclosure', 'says', 'zomato']",cofounder gaurav guptas exit does not warrant disclosure says zomato
"['uttar', 'pradesh', 'chief', 'minister', 'yogi', 'adityanath', 'terms', 'his', 'tenure', 'memorable']",uttar pradesh chief minister yogi adityanath terms his tenure memorable
"['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'monday']",ahead of market 12 things that will decide stock action on monday
"['boxer', 'senator', 'manny', 'pacquiao', 'to', 'run', 'for', 'philippine', 'president']",boxer senator manny pacquiao to run for philippine president
"['govt', 'yet', 'to', 'take', 'call', 'on', '68', 'names', 'sent', 'by', 'sc', 'collegium', 'for', 'appointment', 'as', 'hc', 'judges']",govt yet to take call on 68 names sent by sc collegium for appointment as hc judges
"['why', 'financial', 'advisers', 'need', 'to', 'be', 'good', 'story', 'tellers']",why financial advisers need to be good story tellers
"['frances', 'macron', 'americas', 'biden', 'to', 'talk', 'in', 'coming', 'days', 'about', 'submarine', 'spat']",frances macron americas biden to talk in coming days about submarine spat
"['indians', 'most', 'positive', 'towards', 'biometrics']",indians most positive towards biometrics
"['former', 'punjab', 'cm', 'amarinder', 'singh', 'wrote', 'to', 'sonia', 'before', 'quitting', 'as', 'cm', 'expressed', 'anguish', 'at', 'political', 'events']",former punjab cm amarinder singh wrote to sonia before quitting as cm expressed anguish at political events
"['trade', 'setup', 'nifty', 'looks', 'in', 'for', 'some', 'rangebound', 'consolidation']",trade setup nifty looks in for some rangebound consolidation
"['yogi', 'adityanath', 'govts', 'report', 'card', 'is', 'all', 'gas', 'full', 'of', 'lies', 'opposition']",yogi adityanath govts report card is all gas full of lies opposition
"['security', 'forces', 'use', 'pump', 'action', 'guns', 'to', 'kill', 'low', 'flying', 'drones']",security forces use pump action guns to kill low flying drones
"['amarinder', 'singhs', 'ministers', 'that', 'locked', 'horns', 'with', 'him']",amarinder singhs ministers that locked horns with him
"['fpis', 'net', 'buyers', 'at', 'rs', '16305', 'crore', 'so', 'far', 'in', 'september']",fpis net buyers at rs 16305 crore so far in september
"['russia', 'president', 'putins', 'party', 'set', 'to', 'retain', 'parliament', 'majority', 'after', 'polls']",russia president putins party set to retain parliament majority after polls
"['sukhjinder', 'randhawa', 'to', 'be', 'next', 'punjab', 'cm', 'as', 'per', 'reports']",sukhjinder randhawa to be next punjab cm as per reports
"['m', 'cap', 'of', 'four', 'of', 'top', '10', 'most', 'valued', 'cos', 'jumps', 'rs', '65464', 'cr', 'airtel', 'sbi', 'lead', 'gainers']",m cap of four of top 10 most valued cos jumps rs 65464 cr airtel sbi lead gainers
"['not', 'just', 'a', 'backoffice', 'how', 'covid', '19', 'is', 'evolving', 'outsourcing', 'in', 'india']",not just a backoffice how covid 19 is evolving outsourcing in india
"['delhi', 'bjp', 'expels', 'three', 'councillors', 'for', '6', 'years', 'over', 'graft', 'charges']",delhi bjp expels three councillors for 6 years over graft charges
"['for', 'the', 'first', 'time', 'ever', 'bro', 'appoints', 'woman', 'army', 'officer', 'as', 'in', 'charge', 'of', 'road', 'construction', 'unit']",for the first time ever bro appoints woman army officer as in charge of road construction unit
"['day', 'trading', 'guide', '2', 'stock', 'recommendations', 'for', 'monday']",day trading guide 2 stock recommendations for monday
"['1', '20', 'lakh', 'deaths', 'due', 'to', 'negligence', 'in', 'road', 'accidents', 'in', '2020', 'avg', '328', 'daily', 'says', 'ncrb', 'data']",1 20 lakh deaths due to negligence in road accidents in 2020 avg 328 daily says ncrb data
"['indian', 'industry', 'to', 'produce', 'two', 'more', 'entire', 'rockets', 'gslv', 'mk', 'iii', 'and', 'sslv', 'says', 'dos']",indian industry to produce two more entire rockets gslv mk iii and sslv says dos
"['moratorium', 'on', 'telecom', 'dues', 'allows', 'time', 'to', 'transform', 'repair', 'tariff', 'wars', 'unlikely', 'deloitte', 'india']",moratorium on telecom dues allows time to transform repair tariff wars unlikely deloitte india
"['the', 'week', 'that', 'was', 'zee', 'voda', 'top', 'gainers', 'airlines', 'fly', 'sail', 'sees', 'cuts']",the week that was zee voda top gainers airlines fly sail sees cuts
"['tweet', 'buster', 'what', 'snakes', 'and', 'ladders', 'game', 'teaches', 'us', 'about', 'investing', 'in', 'a', 'bull', 'market']",tweet buster what snakes and ladders game teaches us about investing in a bull market
"['aicc', 'observers', 'in', 'talks', 'with', 'punjab', 'leaders', 'to', 'pick', 'new', 'cm']",aicc observers in talks with punjab leaders to pick new cm
"['captain', 'amarinder', 'singh', 'lost', 'battle', 'of', 'perception', 'in', 'punjab']",captain amarinder singh lost battle of perception in punjab
"['india', 'inc', 'sees', 'marginal', 'decline', 'in', 'legal', 'spending', 'during', 'fy21', 'at', 'rs', '36973', 'crore']",india inc sees marginal decline in legal spending during fy21 at rs 36973 crore
