headlines,headline_text
"['joe', 'biden', 'signs', 'debt', 'limit', 'bill', 'avoiding', 'us', 'default']",joe biden signs debt limit bill avoiding us default
"['plastic', 'grapple', 'the', 'whole', 'pipeline']",plastic grapple the whole pipeline
"['a', 'week', 'without', 'your', 'mobile', 'starting', 'today']",a week without your mobile starting today
"['over', '7', '4', 'million', 'qr', 'code', 'tickets', 'sold', 'token', 'sales', 'drop', 'delhi', 'metro']",over 7 4 million qr code tickets sold token sales drop delhi metro
"['wednesday', 'season', '2', 'is', 'confirmed', 'but', 'when', 'will', 'it', 'be', 'released', 'heres', 'everything', 'we', 'know', 'so', 'far']",wednesday season 2 is confirmed but when will it be released heres everything we know so far
"['india', 'has', 'incredible', 'engineering', 'power', 'says', 'ceo', 'of', 'silicon', 'valley', 'incubator']",india has incredible engineering power says ceo of silicon valley incubator
"['panel', 'seeks', '1', 'trillion', 'for', 'startups', 'from', 'g20', 'by', '2030']",panel seeks 1 trillion for startups from g20 by 2030
"['miami', 'heat', 'vs', 'denver', 'nuggets', 'at', 'nba', 'finals', 'game', '2', 'see', 'why', 'stakes', 'are', 'high', 'for', 'tonights', 'game']",miami heat vs denver nuggets at nba finals game 2 see why stakes are high for tonights game
"['stellar', 'value', 'chain', 'looks', 'to', 'add', 'over', '10', 'million', 'sq', 'ft', 'of', 'logistics', 'space', 'in', 'two', 'years']",stellar value chain looks to add over 10 million sq ft of logistics space in two years
"['rishi', 'sunak', 'looks', 'for', 'two', 'pence', 'uk', 'tax', 'cut', 'before', 'election']",rishi sunak looks for two pence uk tax cut before election
"['aaron', 'judges', 'spectacular', 'catch', 'and', 'collision', 'at', 'dodger', 'stadium', 'watch']",aaron judges spectacular catch and collision at dodger stadium watch
"['saudi', 'arabia', 'cuts', 'oil', 'output', 'by', '1', 'million', 'barrels', 'per', 'day', 'to', 'boost', 'sagging', 'prices']",saudi arabia cuts oil output by 1 million barrels per day to boost sagging prices
"['well', 'being', 'of', 'environment']",well being of environment
"['thirty', 'years', 'after', 'tiananmen', 'its', 'almost', 'as', 'if', 'nothing', 'happened', 'there']",thirty years after tiananmen its almost as if nothing happened there
"['stable', 'local', 'demand', 'boosts', 'q4fy23', 'yet', 'external', 'factors', 'pose', 'challenges', 'for', 'fy24']",stable local demand boosts q4fy23 yet external factors pose challenges for fy24
"['wait', 'what', 'kylie', 'jenners', 'rumored', 'beau', 'timothe', 'chalamet', 'meets', 'mom', 'kris', 'jenner', 'sis', 'kendall', 'details']",wait what kylie jenners rumored beau timothe chalamet meets mom kris jenner sis kendall details
"['better', 'manpower', 'maintenance', 'in', 'rails']",better manpower maintenance in rails
"['deadly', 'truth', 'of', 'migration', 'in', 'rural', 'bengal']",deadly truth of migration in rural bengal
"['embassy', 'group', 'plans', 'to', 'sell', 'assets', 'to', 'cut', 'debt', 'by', 'a', 'third', 'group', 'chairman', 'jitu', 'virwani']",embassy group plans to sell assets to cut debt by a third group chairman jitu virwani
"['brigade', 'to', 'launch', '10', 'housing', 'projects', 'in', 'fy24', 'to', 'invest', 'rs', '3000', 'cr', 'on', 'construction', 'md']",brigade to launch 10 housing projects in fy24 to invest rs 3000 cr on construction md
"['will', 'caleb', 'martin', 'of', 'miami', 'heat', 'play', 'in', 'game', '2', 'of', 'nba', 'finals']",will caleb martin of miami heat play in game 2 of nba finals
"['daisy', 'may', 'cooper', 'opens', 'up', 'about', 'drifting', 'away', 'from', 'brother', 'charlie', 'terms', 'it', 'horrible', 'experience']",daisy may cooper opens up about drifting away from brother charlie terms it horrible experience
"['veteran', 'actor', 'sulochana', 'latkar', 'dies', 'at', '94', 'politicians', 'and', 'actors', 'pay', 'tribute']",veteran actor sulochana latkar dies at 94 politicians and actors pay tribute
"['we', 'are', 'peas', 'in', 'a', 'pod', 'eva', 'longoria', 'on', 'bff', 'victoria', 'beckham', 'and', 'how', 'they', 'have', 'sleepovers', 'all', 'the', 'time']",we are peas in a pod eva longoria on bff victoria beckham and how they have sleepovers all the time
"['view', 'the', 'us', 'suspending', 'its', 'debt', 'ceiling', 'is', 'not', 'a', 'solution', 'but', 'a', 'short', 'term', 'hedge']",view the us suspending its debt ceiling is not a solution but a short term hedge
"['manchester', 'city', 'vs', 'inter', 'milan', 'date', 'time', 'where', 'to', 'watch', 'uefa', 'champions', 'league', 'final']",manchester city vs inter milan date time where to watch uefa champions league final
"['pakistan', 'using', 'social', 'media', 'local', 'influencers', 'narcotics', 'to', 'radicalise', 'kashmiri', 'youth', 'army']",pakistan using social media local influencers narcotics to radicalise kashmiri youth army
"['box', 'office', 'spider', 'man', 'across', 'the', 'spider', 'verse', 'earns', 'usd', '120', 'million', 'on', 'debut']",box office spider man across the spider verse earns usd 120 million on debut
"['indian', 'navys', 'eco', 'friendly', 'initiatives', 'imbibing', 'green', 'tech']",indian navys eco friendly initiatives imbibing green tech
"['lufthansa', 'air', 'india', 'working', 'towards', 'a', 'strong', 'commercial', 'partnership', 'ceo', 'carsten', 'spohr']",lufthansa air india working towards a strong commercial partnership ceo carsten spohr
"['the', 'witcher', 'sirens', 'of', 'the', 'deep', 'to', 'premiere', 'on', 'netflix', 'heres', 'everything', 'we', 'know']",the witcher sirens of the deep to premiere on netflix heres everything we know
"['directors', 'guild', 'of', 'americas', 'tentative', 'deal', 'with', 'studios', 'and', 'streamers', 'all', 'you', 'need', 'to', 'know']",directors guild of americas tentative deal with studios and streamers all you need to know
"['opposition', 'parties', 'june', '12', 'meet', 'in', 'patna', 'postponed']",opposition parties june 12 meet in patna postponed
"['congress', 'cm', 'face', 'for', 'mp', 'lop', 'mla', 'spar', 'over', 'kamal', 'nath', 'digvijaya', 'backs', 'former', 'union', 'minister']",congress cm face for mp lop mla spar over kamal nath digvijaya backs former union minister
"['2023', 'belmont', 'stakes', 'cheat', 'sheet', 'get', 'to', 'know', 'the', 'horses']",2023 belmont stakes cheat sheet get to know the horses
"['tea', 'producers', 'call', 'for', 'all', 'stakeholders', 'to', 'ensure', 'industrys', 'resilience', 'and', 'growth']",tea producers call for all stakeholders to ensure industrys resilience and growth
"['harrison', 'ford', 'hails', 'tom', 'cruise', 'unveils', 'unique', 'connection', 'between', 'the', 'hollywood', 'titans']",harrison ford hails tom cruise unveils unique connection between the hollywood titans
