headlines,headline_text
"['third', 'eye', 'ed', 'impacts', 'bjp', 'mps', 'family', 'on', 'a', 'different', 'platform', 'love', 'inthe', 'air']",third eye ed impacts bjp mps family on a different platform love inthe air
"['covishield', 'deaths', 'could', 'be', 'more', 'than', 'estimates', 'parents']",covishield deaths could be more than estimates parents
"['cabin', 'crew', 'crisis', 'air', 'india', 'express', 'cancels', 'over', '100', 'flights', 'impacts', '15000', 'passengers']",cabin crew crisis air india express cancels over 100 flights impacts 15000 passengers
"['managing', 'the', 'trilemma', 'of', 'inflation', 'growth', 'and', 'exchange', 'rate']",managing the trilemma of inflation growth and exchange rate
"['cci', 'unable', 'to', 'prove', 'market', 'dominance', 'google', 'tells', 'nclat']",cci unable to prove market dominance google tells nclat
"['ril', 'gears', 'up', 'to', 'host', 'india', 'house', 'at', 'olympics']",ril gears up to host india house at olympics
"['india', 'extends', 'free', 'import', 'of', 'yellow', 'peas', 'till', 'october']",india extends free import of yellow peas till october
"['panel', 'to', 'relook', 'at', 'floor', 'wage', 'rates', 'prepare', 'a', 'road', 'map']",panel to relook at floor wage rates prepare a road map
"['best', 'luxury', 'mothers', 'day', 'gifts', 'to', 'give', 'your', 'mother', 'this', 'year']",best luxury mothers day gifts to give your mother this year
"['vietnam', 'in', 'palestine', 'americas', 'role', 'in', 'the', 'gaza', 'conflict']",vietnam in palestine americas role in the gaza conflict
"['thai', 'pm', 'srettha', 'thavisin', 'says', 'cannabis', 'to', 'be', 're', 'listed', 'as', 'narcotic', 'by', 'end', 'of', '2024']",thai pm srettha thavisin says cannabis to be re listed as narcotic by end of 2024
"['last', 'minute', 'mothers', 'day', 'gifts']",last minute mothers day gifts
"['bitumen', 'sales', 'hit', '10', 'year', 'high', 'in', 'fy24']",bitumen sales hit 10 year high in fy24
"['impose', 'prez', 'rule', 'in', 'haryana', 'hold', 'assembly', 'polls', 'hooda']",impose prez rule in haryana hold assembly polls hooda
"['openai', 'working', 'on', 'search', 'product', 'to', 'rival', 'google', 'and', 'perplexity']",openai working on search product to rival google and perplexity
"['tesla', 'sends', 'top', 'executive', 'back', 'to', 'china', 'amid', 'weak', 'sales']",tesla sends top executive back to china amid weak sales
"['eu', 'tariffs', 'on', 'chinese', 'evs', 'could', 'backfire', 'german', 'car', 'bosses', 'warn']",eu tariffs on chinese evs could backfire german car bosses warn
"['by', 'the', 'hair', 'of', 'dortmunds', 'chinny', 'chin', 'chin']",by the hair of dortmunds chinny chin chin
"['finally', '200', 'year', 'old', 'garrick', 'club', 'to', 'get', 'female', 'members']",finally 200 year old garrick club to get female members
"['send', 'cbi', 'ed', 'to', 'probe', 'adani', 'ambani', 'rahuls', 'retort', 'to', 'modis', 'tempo', 'loads', 'of', 'money', 'jibe']",send cbi ed to probe adani ambani rahuls retort to modis tempo loads of money jibe
"['centre', 'asks', 'states', 'to', 'exclude', 'stubble', 'burners', 'from', 'msp', 'benefits', 'this', 'year', 'onwards']",centre asks states to exclude stubble burners from msp benefits this year onwards
