headlines,headline_text
"['draft', 'policy', 'on', 'key', '5g', 'infrastructure', 'by', 'march', 'end']",draft policy on key 5g infrastructure by march end
"['england', 'to', 'offer', 'covid', '19', 'vaccine', 'to', 'all', 'children', 'aged', '5', '11']",england to offer covid 19 vaccine to all children aged 5 11
"['jks', 'state', 'investigation', 'agency', 'says', 'it', 'has', 'arrested', 'ten', 'alleged', 'jaish', 'e', 'mohammed', 'workers']",jks state investigation agency says it has arrested ten alleged jaish e mohammed workers
"['dont', 'drag', 'developing', 'nations', 'to', 'wto', 'on', 'covid', 'time', 'measures', 'india', 'cuba', '44', 'others']",dont drag developing nations to wto on covid time measures india cuba 44 others
"['the', 'artists', 'reality']",the artists reality
"['fy22', 'current', 'account', 'deficit', 'faces', 'mild', 'upside', 'risk', 'acuite', 'ratings']",fy22 current account deficit faces mild upside risk acuite ratings
"['kartarpur', 'part', 'of', 'pakistan', 'due', 'to', 'congress', 'sin', 'pm', 'narendra', 'modi']",kartarpur part of pakistan due to congress sin pm narendra modi
"['academia', 'must', 'step', 'outside', 'its', 'ivory', 'towers', 'and', 'find', 'creative', 'solutions', 'for', 'issues']",academia must step outside its ivory towers and find creative solutions for issues
"['govt', 'likely', 'to', 'announce', 'green', 'hydrogen', 'enablers', 'tomorrow', 'considering', 'uniform', 'rpos']",govt likely to announce green hydrogen enablers tomorrow considering uniform rpos
"['now', 'crash', 'helmet', 'safety', 'harness', 'to', 'be', 'mandatory', 'for', 'children', 'below', '4', 'yrs', 'on', 'motorcycles']",now crash helmet safety harness to be mandatory for children below 4 yrs on motorcycles
"['up', 'elections', '2022', 'aditi', 'singh', 'challenges', 'congress', 'legacy', 'in', 'raebareli', 'sadar']",up elections 2022 aditi singh challenges congress legacy in raebareli sadar
"['mlas', 'no', 'authority', 'to', 'prescribe', 'uniforms', 'petitioners', 'counsel', 'in', 'karnataka']",mlas no authority to prescribe uniforms petitioners counsel in karnataka
"['commercial', 'vehicle', 'makers', 'count', 'on', 'pent', 'up', 'demand', 'ageing', 'fleet', 'to', 'drive', 'recovery']",commercial vehicle makers count on pent up demand ageing fleet to drive recovery
"['shobha', 'aggarwal', 'of', 'viney', 'equity', 'buys', '2000', 'sq', 'yard', 'bungalow', 'in', 'delhi', 'for', 'rs', '80', 'crore']",shobha aggarwal of viney equity buys 2000 sq yard bungalow in delhi for rs 80 crore
"['air', 'travel', 'to', 'get', 'costlier', 'as', 'jet', 'fuel', 'prices', 'rise', 'further']",air travel to get costlier as jet fuel prices rise further
"['mea', 'sets', 'up', 'control', 'room', 'to', 'help', 'indians', 'in', 'ukraine', 'govt', 'looks', 'at', 'increasing', 'flights']",mea sets up control room to help indians in ukraine govt looks at increasing flights
"['ed', 'register', 'pmla', 'case', 'in', 'abg', 'shipyard', 'fraud']",ed register pmla case in abg shipyard fraud
"['india', 'must', 'be', 'less', 'nam', 'more', 'quad']",india must be less nam more quad
"['lic', 'sees', 'dip', 'in', 'policy', 'issuance', 'due', 'to', 'pandemic']",lic sees dip in policy issuance due to pandemic
"['not', 'yet', 'ready', 'for', 'separation', 'pangs']",not yet ready for separation pangs
"['mlas', 'represent', 'political', 'parties', 'ideologies', 'their', 'committees', 'have', 'no', 'power', 'to', 'prescribe', 'student', 'uniform', 'advocate']",mlas represent political parties ideologies their committees have no power to prescribe student uniform advocate
"['huaweis', 'offices', 'searched', 'by', 'taxmen', 'in', 'delhi', 'gurugram', 'bengaluru']",huaweis offices searched by taxmen in delhi gurugram bengaluru
"['delhi', 'sees', '776', 'fresh', 'covid', '19', 'cases', 'five', 'deaths']",delhi sees 776 fresh covid 19 cases five deaths
"['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'thursday']",ahead of market 12 things that will decide stock action on thursday
"['order', 'book', 'with', 'key', 'alliance', 'partners', 'will', 'increase', 'from', '38', 'to', '50', 'in', 'a', 'few', 'years', 'wipro', 'ceo']",order book with key alliance partners will increase from 38 to 50 in a few years wipro ceo
"['india', 'would', 'be', 'the', 'data', 'and', 'ai', 'capital', 'for', 'the', 'planet', 'microsoft', 'india', 'chief']",india would be the data and ai capital for the planet microsoft india chief
"['housing', 'society', 'built', 'by', 'state', 'owned', 'nbcc', 'declared', 'unsafe', 'residents', 'asked', 'to', 'vacate']",housing society built by state owned nbcc declared unsafe residents asked to vacate
"['flight', 'disruptions', 'happened', 'due', 'to', 'scaling', 'back', 'capacity', 'says', 'vistara', 'ceo', 'kannan']",flight disruptions happened due to scaling back capacity says vistara ceo kannan
"['tata', 'group', 'committed', 'to', 'making', 'air', 'india', 'a', 'world', 'class', 'airline', 'chandrasekaran', 'tell', 'employees']",tata group committed to making air india a world class airline chandrasekaran tell employees
