headlines,headline_text
"['future', 'enterprises', 'defaults', 'on', 'rs', '29', '33', 'cr', 'interest', 'payment', 'for', 'ncds', 'third', 'default', 'of', 'this', 'month']",future enterprises defaults on rs 29 33 cr interest payment for ncds third default of this month
"['is', 'earning', 'more', 'no', 'longer', 'sacred']",is earning more no longer sacred
"['banks', 'bond', 'market', 'stay', 'ahead', 'of', 'rbi']",banks bond market stay ahead of rbi
"['aicc', 'gandhis', 'noticeably', 'silent', 'on', 'delhis', 'communal', 'clashes']",aicc gandhis noticeably silent on delhis communal clashes
"['russian', 'oil', 'psus', 'to', 'tank', 'up', 'eye', 'bigger', 'discounts']",russian oil psus to tank up eye bigger discounts
"['rbi', 'further', 'tightens', 'regulations', 'for', 'non', 'bank', 'lenders']",rbi further tightens regulations for non bank lenders
"['fortis', 'healthcare', 'case', 'sebi', 'slaps', 'rs', '24', 'cr', 'penalties', 'on', 'singh', 'brothers', '7', 'other', 'entities']",fortis healthcare case sebi slaps rs 24 cr penalties on singh brothers 7 other entities
"['recovery', 'a', 'la', 'schumpeter']",recovery a la schumpeter
"['nature', 'of', 'unbelief']",nature of unbelief
"['grant', 'loans', 'to', 'real', 'estate', 'sector', 'after', 'ensuring', 'govt', 'approvals', 'for', 'project', 'rbi', 'to', 'nbfcs']",grant loans to real estate sector after ensuring govt approvals for project rbi to nbfcs
"['more', 'use', 'by', 'buses', 'not', 'subsidy', 'for', 'cng']",more use by buses not subsidy for cng
"['seafood', 'and', 'meat', 'brand', 'pescafresh', 'raises', '2', 'million', 'in', 'funding', 'from', 'elara', 'india']",seafood and meat brand pescafresh raises 2 million in funding from elara india
"['manipur', 'nagas', 'decide', 'to', 'remain', 'in', 'manipur']",manipur nagas decide to remain in manipur
"['delhi', 'records', '632', 'fresh', 'covid', 'cases', 'no', 'death', 'positivity', 'rate', 'at', '4', '42', 'per', 'cent']",delhi records 632 fresh covid cases no death positivity rate at 4 42 per cent
"['take', 'pre', 'emptive', 'action', 'to', 'curb', 'emerging', 'spread', 'of', 'covid', 'centre', 'to', '4', 'states', 'and', 'delhi']",take pre emptive action to curb emerging spread of covid centre to 4 states and delhi
"['national', 'security', 'act', 'slapped', 'on', '5', 'accused', 'persons', 'in', 'jahangirpuri', 'violence', 'case', 'sources']",national security act slapped on 5 accused persons in jahangirpuri violence case sources
"['frl', 'shareholders', 'e', 'voting', 'ends', 'egm', 'for', 'shareholders', 'creditors', 'to', 'be', 'held', 'on', 'apr', '20', '21']",frl shareholders e voting ends egm for shareholders creditors to be held on apr 20 21
"['indias', 'sugar', 'output', 'seen', '13', 'pc', 'up', 'at', '35', 'mn', 'tons', 'exports', 'at', '9', '5', 'mn', 'tons', 'in', '2021', '22', 'govt']",indias sugar output seen 13 pc up at 35 mn tons exports at 9 5 mn tons in 2021 22 govt
"['joe', 'biden', 'celebrates', 'easter', 'along', 'with', 'fellow', 'americans']",joe biden celebrates easter along with fellow americans
"['bjp', 'is', 'carrier', 'of', 'hindutva', 'other', 'parties', 'have', 'taken', 'cover', 'of', 'concept', 'says', 'fadnavis']",bjp is carrier of hindutva other parties have taken cover of concept says fadnavis
"['assam', 'government', 'to', 'honour', 'soldiers', 'who', 'fought', 'in', 'the', '1971', 'bangladesh', 'liberation', 'war', 'on', 'april', '23']",assam government to honour soldiers who fought in the 1971 bangladesh liberation war on april 23
"['amazon', 'reliance', 'sony', 'vying', 'for', 'india', 'cricket', 'broadcast', 'rights']",amazon reliance sony vying for india cricket broadcast rights
"['clyburn', 'inc', 'records', 'reveal', 'a', 'south', 'carolina', 'dem', 'of', 'spending', '200k', 'campaign', 'funds', 'on', 'family', 'members']",clyburn inc records reveal a south carolina dem of spending 200k campaign funds on family members
"['julia', 'roberts', 'and', 'sean', 'penn', 'attend', 'york', 'city', 'premiere', 'of', 'gaslit']",julia roberts and sean penn attend york city premiere of gaslit
"['majority', 'of', 'professionals', 'may', 'seek', 'new', 'jobs', 'in', 'next', '6', 'months', 'report']",majority of professionals may seek new jobs in next 6 months report
"['defamation', 'lawsuit', 'of', 'blac', 'chyna', 'sees', 'demands', 'eclipsing', '100', 'million', 'against', 'kardashians']",defamation lawsuit of blac chyna sees demands eclipsing 100 million against kardashians
"['incompetence', 'of', 'bjp', 'govt', 'has', 'pushed', 'back', 'progressive', 'economy', 'congress']",incompetence of bjp govt has pushed back progressive economy congress
"['lockheed', 'reports', '5', '7', 'fall', 'in', 'q1', 'profit']",lockheed reports 5 7 fall in q1 profit
"['amit', 'shah', 'likely', 'to', 'visit', 'bengal', 'in', 'first', 'week', 'of', 'may']",amit shah likely to visit bengal in first week of may
"['tax', 'day', '2022', 'irs', 'website', 'slows', 'down', 'experiences', 'delays']",tax day 2022 irs website slows down experiences delays
"['tata', 'digital', 'top', 'brass', 'takes', 'stock', 'of', 'super', 'app', 'neu', 'post', 'launch', 'tech', 'fixes', 'hiring', 'are', 'priorities']",tata digital top brass takes stock of super app neu post launch tech fixes hiring are priorities
"['rap', 'legends', 'wu', 'tang', 'clan', 'and', 'nas', 'to', 'team', 'up', 'for', 'pine', 'knob', 'bound', 'ny', 'state', 'of', 'mind', 'tour']",rap legends wu tang clan and nas to team up for pine knob bound ny state of mind tour
"['uber', 'drops', 'mask', 'requirement', 'for', 'its', 'riders', 'drivers', 'in', 'the', 'us']",uber drops mask requirement for its riders drivers in the us
"['imf', 'lowers', 'indias', 'growth', 'forecast', 'to', '8', '2', 'for', 'fy23']",imf lowers indias growth forecast to 8 2 for fy23
"['uk', 'pm', 'johnson', 'to', 'face', 'partygate', 'parliament', 'vote', 'while', 'in', 'india']",uk pm johnson to face partygate parliament vote while in india
"['assam', 'police', 'fundamentalist', 'organisations', 'including', 'isi', 'involved', 'in', 'illegal', 'cattle', 'trade']",assam police fundamentalist organisations including isi involved in illegal cattle trade
"['struggling', 'with', 'wordle', 'today', 'check', 'out', 'wordle', '304', 'answer', 'with', 'hints', 'tuesday', 'april', '19th']",struggling with wordle today check out wordle 304 answer with hints tuesday april 19th
"['hdfc', 'divests', '1', 'stake', 'in', 'ansal', 'housing', 'for', 'nearly', 'rs', '49', 'lakh']",hdfc divests 1 stake in ansal housing for nearly rs 49 lakh
"['lt', 'infotechs', 'quarterly', 'profit', 'jumps', '17', 'to', 'rs', '637', '5', 'crore']",lt infotechs quarterly profit jumps 17 to rs 637 5 crore
"['vc', 'fund', 'lightspeed', 'promotes', 'three', 'executives', 'to', 'partner', 'level', 'including', 'two', 'women']",vc fund lightspeed promotes three executives to partner level including two women
"['your', 'daily', 'horoscope', 'april', '19', '2022']",your daily horoscope april 19 2022
"['better', 'com', 'does', 'it', 'again', 'lays', 'off', 'employees', 'in', 'an', 'awful', 'manner']",better com does it again lays off employees in an awful manner
"['fintech', 'startup', 'savein', 'raises', '4', 'million', 'in', 'funding', 'led', 'by', 'y', 'combinator', 'and', 'others']",fintech startup savein raises 4 million in funding led by y combinator and others
"['rajasthan', '11', 'killed', 'seven', 'injured', 'in', 'road', 'accident']",rajasthan 11 killed seven injured in road accident
"['punjab', 'sind', 'bank', 'declares', 'srei', 'loan', 'accounts', 'as', 'frauds']",punjab sind bank declares srei loan accounts as frauds
"['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'd', 'street', 'action', 'on', 'wednesday']",ahead of market 12 things that will decide d street action on wednesday
"['ex', 'myntra', 'cfo', 'tipped', 'to', 'be', 'next', 'zilingo', 'ceo', 'fm', 'calls', 'for', 'global', 'crypto', 'rules']",ex myntra cfo tipped to be next zilingo ceo fm calls for global crypto rules
"['mgks', 'showcases', 'latest', 'movie', 'good', 'mourning', 'megan', 'fox', 'and', 'pete', 'davidson', 'to', 'be', 'lead', 'actors']",mgks showcases latest movie good mourning megan fox and pete davidson to be lead actors
"['hawking', 'defence', 'services', 'signs', 'mou', 'with', 'australian', 'uav', 'technologies']",hawking defence services signs mou with australian uav technologies
"['max', 'ventures', 'and', 'industries', 'to', 'amalgamate', 'with', 'subsidiary', 'max', 'estates']",max ventures and industries to amalgamate with subsidiary max estates
"['lic', 'dominates', 'insurance', 'market', 'despite', 'losing', 'share']",lic dominates insurance market despite losing share
"['govt', 'representative', 'for', 'naga', 'talks', 'visit', 'nscn', 'isak', 'muivah', 'hqs']",govt representative for naga talks visit nscn isak muivah hqs
"['blackstone', 'inc', 'buys', 'american', 'campus', 'communities', 'inc', 'in', 'an', 'all', 'cash', 'deal', 'worth', '12', '8', 'billion']",blackstone inc buys american campus communities inc in an all cash deal worth 12 8 billion
"['age', 'of', 'traditional', 'medicine', 'will', 'start', 'with', 'establishment', 'of', 'who', 'centre', 'pm', 'modi']",age of traditional medicine will start with establishment of who centre pm modi
"['global', 'solar', 'sector', 'attracts', 'usd', '7', '5', 'bn', 'corporate', 'funding', 'in', 'march', 'quarter', 'mercom', 'capital']",global solar sector attracts usd 7 5 bn corporate funding in march quarter mercom capital
"['burman', 'group', 'scales', 'up', 'holding', 'in', 'eveready', 'industries', 'to', '20', '18']",burman group scales up holding in eveready industries to 20 18
"['imf', 'slashes', 'global', 'growth', 'forecasts', 'amid', 'ukraine', 'war']",imf slashes global growth forecasts amid ukraine war
"['one', 'dead', 'many', 'injured', 'after', 'sri', 'lanka', 'police', 'fires', 'at', 'anti', 'government', 'protesters']",one dead many injured after sri lanka police fires at anti government protesters
"['high', 'energy', 'material', 'costs', 'impact', 'accs', 'march', 'quarter', 'margins']",high energy material costs impact accs march quarter margins
"['iit', 'guwahati', 'to', 'host', '1st', 'edition', 'of', 'north', 'eastern', 'research', 'conclave']",iit guwahati to host 1st edition of north eastern research conclave
"['over', '8', '25', 'lakh', 'jobs', 'created', 'under', 'pmegp', 'in', 'fy22', 'govt']",over 8 25 lakh jobs created under pmegp in fy22 govt
"['from', 'voice', 'messages', 'to', 'audio', 'clips', 'now', 'use', 'customised', 'sounds', 'for', 'telegram', 'notifications']",from voice messages to audio clips now use customised sounds for telegram notifications
"['volvo', 'cars', 'india', 'hikes', 'vehicle', 'prices', 'by', 'up', 'to', 'rs', '3', 'lakh']",volvo cars india hikes vehicle prices by up to rs 3 lakh
"['organisers', 'to', 'obtain', 'prior', 'permission', 'give', 'undertaking', 'before', 'taking', 'out', 'any', 'religious', 'procession', 'up', 'cm', 'yogi', 'adityanath']",organisers to obtain prior permission give undertaking before taking out any religious procession up cm yogi adityanath
"['flipkart', 'acquires', 'd2c', 'saas', 'platform', 'ans', 'commerce']",flipkart acquires d2c saas platform ans commerce
"['gold', 'declines', 'rs', '317', 'silver', 'went', 'lower', 'by', 'rs', '476']",gold declines rs 317 silver went lower by rs 476
"['former', 'myntra', 'cfo', 'ramesh', 'bafna', 'frontrunner', 'to', 'be', 'new', 'zilingo', 'ceo']",former myntra cfo ramesh bafna frontrunner to be new zilingo ceo
"['coal', 'shortages', 'at', 'thermal', 'plants', 'indicate', 'looming', 'power', 'crisis', 'aipef']",coal shortages at thermal plants indicate looming power crisis aipef
"['day', 'trading', 'guide', 'lic', 'housing', 'upl', 'among', '4', 'stock', 'recommendations', 'for', 'wednesday']",day trading guide lic housing upl among 4 stock recommendations for wednesday
"['sbm', 'bank', 'india', 'raises', 'rs', '125', 'crore', 'via', 'bonds']",sbm bank india raises rs 125 crore via bonds
"['tamil', 'nadu', 'plans', 'airport', 'in', 'industrial', 'belt', 'of', 'hosur']",tamil nadu plans airport in industrial belt of hosur
"['real', 'estate', 'platform', 'nobroker', 'to', 'double', 'tech', 'team']",real estate platform nobroker to double tech team
"['sebi', 'rejigs', 'advisory', 'panel', 'on', 'leveraging', 'regulatory', 'and', 'technology', 'solutions']",sebi rejigs advisory panel on leveraging regulatory and technology solutions
"['government', 'sets', 'foodgrain', 'output', 'target', 'at', 'record', '328', 'million', 'tonnes', 'for', '2022', '23', 'crop', 'year']",government sets foodgrain output target at record 328 million tonnes for 2022 23 crop year
"['rupee', 'falls', '22', 'paise', 'to', 'close', 'at', '76', '51', 'against', 'us', 'dollar']",rupee falls 22 paise to close at 76 51 against us dollar
"['10', 'best', 'altcoins', 'to', 'invest', 'in', '2022', 'before', 'it', 'goes', 'to', 'the', 'moon']",10 best altcoins to invest in 2022 before it goes to the moon
"['world', 'liver', 'day', 'warning', 'signs', 'wont', 'show', 'until', 'its', 'too', 'late', 'some', 'conditions', 'can', 'be', 'reversed', 'with', 'good', 'habits']",world liver day warning signs wont show until its too late some conditions can be reversed with good habits
"['no', 'more', 'shopping', 'spree', 'please', 'its', 'time', 'to', 'cut', 'back', 'on', 'buying', 'new', 'clothes', 'by', '75', 'to', 'meet', 'the', 'sustainability', 'goals']",no more shopping spree please its time to cut back on buying new clothes by 75 to meet the sustainability goals
"['samsung', 'india', 'to', 'start', 'selling', 'televisions', 'from', 'mobile', 'phone', 'stores']",samsung india to start selling televisions from mobile phone stores
"['after', 'i', 'invest', 'in', 'a', 'mutual', 'fund', 'how', 'soon', 'will', 'i', 'get', 'the', 'certificate', 'or', 'statement', 'of', 'account']",after i invest in a mutual fund how soon will i get the certificate or statement of account
"['my', 'wife', 'goes', 'through', 'my', 'calendar', 'so', 'that', 'i', 'can', 'have', 'work', 'life', 'balance', 'ranveer', 'singh', 'reveals', 'how', 'deepika', 'keeps', 'his', 'workaholism', 'in', 'check']",my wife goes through my calendar so that i can have work life balance ranveer singh reveals how deepika keeps his workaholism in check
"['market', 'movers', 'power', 'shortages', 'drive', 'demand', 'for', 'psus', 'nlc', 'india', 'coal', 'india']",market movers power shortages drive demand for psus nlc india coal india
"['will', 'not', 'buy', 'peace', 'in', 'j', 'k', 'but', 'will', 'establish', 'it', 'lg']",will not buy peace in j k but will establish it lg
"['black', 'flags', 'shown', 'against', 'tn', 'governor', 'opposition', 'aiadmk', 'bjp', 'question', 'government', 'over', 'incident']",black flags shown against tn governor opposition aiadmk bjp question government over incident
"['kinara', 'capital', 'raises', 'rs', '380', 'crores', 'in', 'funding', 'led', 'by', 'investment', 'manager', 'nuveen']",kinara capital raises rs 380 crores in funding led by investment manager nuveen
"['this', 'deep', 'bull', 'market', 'correction', 'will', 'play', 'till', 'july', 'august', 'jai', 'bala']",this deep bull market correction will play till july august jai bala
"['delhi', 'power', 'demand', 'soars', 'to', '5735', 'mw', 'highest', 'ever', 'in', 'april']",delhi power demand soars to 5735 mw highest ever in april
"['indian', 'and', 'foreign', 'institutions', 'to', 'be', 'able', 'to', 'offer', 'joint', 'degrees', 'twinning', 'programmes', 'soon', 'ugc']",indian and foreign institutions to be able to offer joint degrees twinning programmes soon ugc
"['jiofiber', 'plans', 'with', 'free', 'installation', 'free', 'set', 'top', 'box', 'and', 'free', 'router', 'announced', 'plan', 'details', 'prices', 'and', 'everything', 'else', 'you', 'need', 'to', 'know']",jiofiber plans with free installation free set top box and free router announced plan details prices and everything else you need to know
"['reliance', 'brands', 'signs', 'pact', 'to', 'pick', 'controlling', 'stake', 'in', 'abu', 'jani', 'sandeep', 'khosla']",reliance brands signs pact to pick controlling stake in abu jani sandeep khosla
"['india', 'belongs', 'to', 'everyone', 'rss', 'leader']",india belongs to everyone rss leader
"['i', 'am', 'in', 'my', 'twenties', 'is', 'sip', 'the', 'most', 'secure', 'way', 'of', 'investing', 'for', 'me']",i am in my twenties is sip the most secure way of investing for me
"['maharashtra', 'sees', '137', 'covid', '19', 'cases', 'more', 'than', 'double', 'of', 'mondays', 'addition', '3', 'deaths']",maharashtra sees 137 covid 19 cases more than double of mondays addition 3 deaths
"['maharashtra', 'government', 'issues', 'resolution', 'to', 'withdraw', 'cases', 'against', 'organisers', 'of', 'bullock', 'cart', 'races']",maharashtra government issues resolution to withdraw cases against organisers of bullock cart races
"['jahangirpuri', 'violence', 'part', 'of', 'sangh', 'affiliates', 'agenda', 'left', 'parties']",jahangirpuri violence part of sangh affiliates agenda left parties
"['solar', 'plant', 'in', 'jks', 'samba', 'district', 'completed', 'in', 'record', '20', 'days', 'union', 'min', 'jitendra', 'singh']",solar plant in jks samba district completed in record 20 days union min jitendra singh
"['tn', 'making', 'rapid', 'progress', 'in', 'industry', 'share', 'in', 'fdi', 'increased', 'says', 'cm', 'm', 'k', 'stalin']",tn making rapid progress in industry share in fdi increased says cm m k stalin
