headlines,headline_text
"['the', 'crisis', 'is', 'in', 'you']",the crisis is in you
"['yes', 'bank', 'gets', 'rbi', 'nod', 'for', 'appointment', 'of', 'prashant', 'kumar', 'as', 'md', 'and', 'ceo']",yes bank gets rbi nod for appointment of prashant kumar as md and ceo
"['up', 'tourism', 'budget', 'for', 'ne', 'by', 'rs', '10000', 'cr', 'to', 'create', '3', 'lakh', 'new', 'jobs', 'msme', 'epc']",up tourism budget for ne by rs 10000 cr to create 3 lakh new jobs msme epc
"['dahmer', 'on', 'netflix', 'is', 'helping', 'old', 'john', 'wayne', 'gacy', 'show', 'climb', 'up', 'in', 'top', '10', 'list', 'heres', 'how']",dahmer on netflix is helping old john wayne gacy show climb up in top 10 list heres how
"['view', 'how', 'retail', 'participation', 'has', 'changed', 'the', 'dna', 'of', 'indian', 'markets']",view how retail participation has changed the dna of indian markets
"['the', 'utter', 'magic', 'of', 'the', 'first', 'novel']",the utter magic of the first novel
"['aap', 'makes', 'it', 'common', 'man', 'vs', 'dynasty', 'in', 'adampur', 'bypolls']",aap makes it common man vs dynasty in adampur bypolls
"['maharashtra', 'bjp', 'says', 'no', 'screening', 'of', 'adipurush']",maharashtra bjp says no screening of adipurush
"['uttarkashi', 'avalanche', '12', 'more', 'bodies', 'retrieved', 'toll', 'rises', 'to', '16']",uttarkashi avalanche 12 more bodies retrieved toll rises to 16
"['jaishankar', 'raises', 'student', 'visa', 'delays', 'during', 'new', 'zealand', 'visit']",jaishankar raises student visa delays during new zealand visit
"['tiger', 'global', 'targets', '6', 'billion', 'for', 'new', 'venture', 'capital', 'fund']",tiger global targets 6 billion for new venture capital fund
"['us', 'confirms', 'its', 'troops', 'carried', 'out', 'raid', 'in', 'syria', 'targeting', 'isis', 'official']",us confirms its troops carried out raid in syria targeting isis official
"['indian', 'pharma', 'to', 'step', 'up', 'quality', 'standard', 'to', 'meet', 'global', 'generic', 'demand']",indian pharma to step up quality standard to meet global generic demand
"['william', 'and', 'kate', 'visit', 'northern', 'ireland', 'for', 'first', 'time', 'as', 'prince', 'and', 'princess', 'of', 'wales']",william and kate visit northern ireland for first time as prince and princess of wales
"['flying', 'in', 'the', 'face', 'of', 'covid']",flying in the face of covid
"['freeing', 'the', 'white', 'elephants', 'why', 'privatisation', 'of', 'public', 'banks', 'can', 'only', 'be', 'good']",freeing the white elephants why privatisation of public banks can only be good
"['ashley', 'mcbryde', 'is', 'the', 'newest', 'grand', 'ole', 'opry', 'member']",ashley mcbryde is the newest grand ole opry member
"['simon', 'thomas', 'wife', 'delivers', 'a', 'baby', 'eight', 'weeks', 'early', 'his', 'instagram', 'post', 'wins', 'hearts']",simon thomas wife delivers a baby eight weeks early his instagram post wins hearts
"['ecs', '2022', 'manifesto', 'debate', 'has', '2014', 'echo', 'political', 'opposition']",ecs 2022 manifesto debate has 2014 echo political opposition
"['mummies', 'in', 'the', 'masked', 'singer', 'are', 'revealed', 'know', 'who', 'are', 'they']",mummies in the masked singer are revealed know who are they
"['south', 'korea', 'japan', 'us', 'perform', 'missile', 'defence', 'exercises', 'as', 'norths', 'threat', 'grows', 'with', 'every', 'successful', 'test']",south korea japan us perform missile defence exercises as norths threat grows with every successful test
"['unhrc', 'adopts', 'resolution', 'against', 'sri', 'lankas', 'rights', 'record', 'india', 'abstains', 'from', 'voting']",unhrc adopts resolution against sri lankas rights record india abstains from voting
"['how', 'has', 'jesse', 'lee', 'soffer', 'left', 'nbcs', 'chicago', 'p', 'd']",how has jesse lee soffer left nbcs chicago p d
"['philippines', 'looks', 'to', 'benefit', 'from', 'indian', 'expertise', 'in', 'space', 'sector']",philippines looks to benefit from indian expertise in space sector
"['russias', 'industrial', 'output', 'returns', 'to', 'last', 'year', 'level', 'vladimir', 'putin']",russias industrial output returns to last year level vladimir putin
"['fluttering', 'airlines', 'receive', 'enhanced', 'emergency', 'credit', 'limits', 'as', 'costs', 'continue', 'to', 'grow']",fluttering airlines receive enhanced emergency credit limits as costs continue to grow
"['cleveland', 'to', 'host', 'us', 'premiere', 'of', 'disney', 'animation', 'immersive', 'experience']",cleveland to host us premiere of disney animation immersive experience
"['in', 'minority', 'outreach', 'uddhav', 'thackeray', 'again', 'talks', 'of', 'rr', 'jawan', 'aurangzeb']",in minority outreach uddhav thackeray again talks of rr jawan aurangzeb
"['south', 'africa', 'beat', 'india', 'by', 'nine', 'runs', 'in', 'rain', 'hit', 'first', 'odi']",south africa beat india by nine runs in rain hit first odi
