headlines,headline_text
"['female', 'banker', 'friends', 'the', 'quiet', 'heroes', 'of', 'indias', 'rural', 'banking', 'revolution']",female banker friends the quiet heroes of indias rural banking revolution
"['the', 'buddha', 'angulimala']",the buddha angulimala
"['oh', 'its', 'all', 'right', 'to', 'censure', 'abroad']",oh its all right to censure abroad
"['john', 'wick', 'chapter', '4', 'may', 'have', 'a', 'grand', 'opening', 'see', 'release', 'date']",john wick chapter 4 may have a grand opening see release date
"['lokayukta', 'arrests', 'karnataka', 'bjp', 'mlas', 'son', 'while', 'accepting', 'bribe']",lokayukta arrests karnataka bjp mlas son while accepting bribe
"['world', 'bank', 'commits', '1', 'billion', 'to', 'india', 'for', 'public', 'healthcare', 'infra']",world bank commits 1 billion to india for public healthcare infra
"['will', 'constitute', 'a', 'bench', 'to', 'hear', 'hijab', 'case', 'chief', 'justice', 'of', 'india', 'dy', 'chandrachud']",will constitute a bench to hear hijab case chief justice of india dy chandrachud
"['budget', 'the', 'middle', 'class', 'now', 'has', 'the', 'freedom', 'to', 'choose', 'how', 'and', 'where', 'they', 'save', 'invest', 'their', 'money']",budget the middle class now has the freedom to choose how and where they save invest their money
"['malls', 'doubling', 'up', 'as', 'fulfilment', 'centres', 'for', 'brands']",malls doubling up as fulfilment centres for brands
"['kashmir', 'nia', 'attaches', 'property', 'of', 'pakistan', 'based', 'militant', 'basit', 'reshi']",kashmir nia attaches property of pakistan based militant basit reshi
"['6', 'best', 'crompton', 'air', 'coolers', 'in', 'india', 'for', 'effective', 'cooling', 'all', 'summer']",6 best crompton air coolers in india for effective cooling all summer
"['creed', 'iii', 'release', 'date', 'how', 'to', 'watch', 'the', 'movie']",creed iii release date how to watch the movie
"['services', 'activity', 'hits', '12', 'year', 'high', 'in', 'february']",services activity hits 12 year high in february
"['carefulness', 'is', 'next', 'to', 'godliness']",carefulness is next to godliness
"['government', 'to', 'soon', 'issue', 'sops', 'for', 'rs', '26k', 'crore', 'auto', 'pli']",government to soon issue sops for rs 26k crore auto pli
"['uttar', 'pradesh', 'assembly', 'converted', 'into', 'a', 'court', 'and', 'then', 'a', 'jail', 'for', 'six', 'cops', 'for', 'a', 'day']",uttar pradesh assembly converted into a court and then a jail for six cops for a day
"['create', 'a', 'common', 'market', 'for', 'liquor']",create a common market for liquor
"['mns', 'points', 'finger', 'at', 'uddhav', 'camp', 'after', 'leader', 'attacked']",mns points finger at uddhav camp after leader attacked
"['holistic', 'approach', 'needed', 'to', 'develop', 'tourism', 'pm', 'narendra', 'modi']",holistic approach needed to develop tourism pm narendra modi
"['pakistan', 'will', 'not', 'default', 'finance', 'minister', 'ishaq', 'dar']",pakistan will not default finance minister ishaq dar
"['indias', 'african', 'link', 'is', 'old', 'and', 'enduring']",indias african link is old and enduring
"['under', 'captain', 'modi', 'net', 'practice', 'begins', 'at', '6', 'am', 'says', 's', 'jaishankar']",under captain modi net practice begins at 6 am says s jaishankar
"['daylight', 'saving', 'time', 'in', 'us', 'senators', 'reintroduce', 'bill', 'to', 'make', 'it', 'permanent']",daylight saving time in us senators reintroduce bill to make it permanent
"['japan', 'discovers', '7000', 'more', 'islands', 'in', 'its', 'territory', 'see', 'details']",japan discovers 7000 more islands in its territory see details
"['17', 'pacts', 'signed', 'for', 'investments', 'worth', 'rs', '2110', 'crore', 'in', 'himachal', 'cm', 'sukhvinder', 'singh', 'sukhu']",17 pacts signed for investments worth rs 2110 crore in himachal cm sukhvinder singh sukhu
"['red', 'carpet', 'rolled', 'out', 'for', 'chinese', 'fm', 'instead', 'of', 'being', 'shown', 'red', 'eyes', 'congress']",red carpet rolled out for chinese fm instead of being shown red eyes congress
"['aiims', 'delhi', 'to', 'set', 'up', 'robotic', 'surgery', 'training', 'facility']",aiims delhi to set up robotic surgery training facility
"['mahanagar', 'gas', 'to', 'acquire', 'ashoka', 'buildcons', 'city', 'gas', 'arm', 'unison', 'enviro']",mahanagar gas to acquire ashoka buildcons city gas arm unison enviro
"['how', 'are', 'blockchain', 'crypto', 'and', 'defi', 'changing', 'finance']",how are blockchain crypto and defi changing finance
"['humans', 'can', 'save', 'earth', 'from', 'killer', 'planetary', 'bodies', 'reveals', 'dart']",humans can save earth from killer planetary bodies reveals dart
