headlines,headline_text
"['bengal', 'win', 'makes', 'mamata', 'banerjee', 'most', 'formidable', 'force', 'against', 'bjp', 'sushmita', 'dev']",bengal win makes mamata banerjee most formidable force against bjp sushmita dev
"['vice', 'admiral', 'r', 'hari', 'kumar', 'to', 'be', 'next', 'chief', 'of', 'naval', 'staff']",vice admiral r hari kumar to be next chief of naval staff
"['ravi', 'shastri', 'i', 'was', 'here', 'for', 'steel', 'not', 'silverware']",ravi shastri i was here for steel not silverware
"['itc', 'hotels', 'new', 'luxury', 'brand', 'mementos', 'to', 'push', 'managed', 'property', 'business']",itc hotels new luxury brand mementos to push managed property business
"['idfc', 'q2', 'results', 'co', 'posts', 'net', 'profit', 'at', 'rs', '262', 'cr']",idfc q2 results co posts net profit at rs 262 cr
"['bjp', 'sp', 'want', 'up', 'polls', 'to', 'be', 'hindu', 'muslim', 'affair', 'mayawati']",bjp sp want up polls to be hindu muslim affair mayawati
"['punjab', 'cabinet', 'approves', 'regularisation', 'of', '36000', 'contractual', 'employees']",punjab cabinet approves regularisation of 36000 contractual employees
"['crypto', 'exchanges', 'want', 'government', 'to', 'define', 'various', 'crypto', 'assets']",crypto exchanges want government to define various crypto assets
"['rbi', 'removes', 'restrictions', 'on', 'diners', 'club', 'international']",rbi removes restrictions on diners club international
"['india', 'eased', 'its', 'covid', '19', 'disaster', 'fears', 'of', 'complacency', 'remain']",india eased its covid 19 disaster fears of complacency remain
"['india', 's', '400', 'us', 'concern', 'remains', 'around', 'the', 'issue', 'of', 'us', 'and', 'russian', 'weapon', 'systems', 'operating', 'in', 'proximity']",india s 400 us concern remains around the issue of us and russian weapon systems operating in proximity
"['five', 'years', 'on', 'jury', 'still', 'out', 'on', 'demon']",five years on jury still out on demon
"['values', 'vaccine']",values vaccine
"['96', 'countries', 'have', 'agreed', 'to', 'mutual', 'acceptance', 'of', 'covid', 'vaccination', 'certificates', 'with', 'india', 'mandaviya']",96 countries have agreed to mutual acceptance of covid vaccination certificates with india mandaviya
"['hail', 'hajabba', 'seller', 'of', 'oranges', 'dreams']",hail hajabba seller of oranges dreams
"['on', 'non', 'return', 'where', 'do', 'the', 'lost', 'things', 'go']",on non return where do the lost things go
"['despite', 'reopening', 'the', 'us', 'is', 'still', 'closed', 'to', 'many', 'in', 'world']",despite reopening the us is still closed to many in world
"['solar', 'projects', 'allowed', 'deadline', 'extension', 'amid', 'china', 'delays']",solar projects allowed deadline extension amid china delays
"['now', 'get', 'aadhaar', 'verification', 'done', 'offline', 'users', 'get', 'power', 'to', 'revoke', 'ekyc', 'consent']",now get aadhaar verification done offline users get power to revoke ekyc consent
"['u', 's', 'extends', 'ban', 'on', 'securities', 'investments', 'in', 'companies', 'linked', 'to', 'china', 'military']",u s extends ban on securities investments in companies linked to china military
