headlines,headline_text
"['moderna', 'covid', '19', 'vaccine', 'could', 'be', 'ready', 'for', 'use', 'by', 'end', 'of', 'year', 'us', 'says']",moderna covid 19 vaccine could be ready for use by end of year us says
"['enforcement', 'directorate', 'may', 'get', 'fugitive', 'tag', 'for', 'arms', 'dealer', 'sanjay', 'bhandari', 'soon']",enforcement directorate may get fugitive tag for arms dealer sanjay bhandari soon
"['indigo', 'implements', 'more', 'pay', 'cuts', 'for', 'senior', 'management', 'pilots']",indigo implements more pay cuts for senior management pilots
"['telecom', 'department', 'forecasts', '70', 'per', 'cent', 'shortfall', 'in', 'revenues', 'from', 'communications']",telecom department forecasts 70 per cent shortfall in revenues from communications
"['due', 'to', 'right', 'decisions', 'taken', 'at', 'right', 'time', 'india', 'better', 'placed', 'in', 'covid', '19', 'fight', 'pm', 'modi']",due to right decisions taken at right time india better placed in covid 19 fight pm modi
"['view', 'covid', 'hit', 'india', 'needs', 'to', 'create', 'demand', 'to', 'bring', 'back', 'economy', 'on', 'track']",view covid hit india needs to create demand to bring back economy on track
"['oil', 'dips', 'on', 'us', 'china', 'tensions', 'rising', 'virus', 'cases']",oil dips on us china tensions rising virus cases
"['first', 'five', 'rafales', 'depart', 'france', 'for', 'india', 'expected', 'to', 'arrive', 'in', 'ambala', 'on', 'july', '29']",first five rafales depart france for india expected to arrive in ambala on july 29
"['govt', 'launches', 'schemes', 'to', 'boost', 'production', 'of', 'local', 'bulk', 'drugs', 'medical', 'devices']",govt launches schemes to boost production of local bulk drugs medical devices
"['coronavirus', 'vaccine', 'race', 'most', 'of', 'the', 'covid', '19', 'vaccines', 'are', 'already', 'reserved']",coronavirus vaccine race most of the covid 19 vaccines are already reserved
"['steps', 'being', 'taken', 'to', 'double', 'testing', 'to', '10', 'lakh', 'per', 'day', 'prime', 'minister', 'narendra', 'modi']",steps being taken to double testing to 10 lakh per day prime minister narendra modi
"['gold', 'surges', 'to', 'record', 'high', 'as', 'dollar', 'slips', 'sino', 'us', 'row', 'intensifies']",gold surges to record high as dollar slips sino us row intensifies
"['automakers', 'forge', 'technological', 'alliances', 'to', 'set', 'up', 'capacity', 'for', 'manufacturing', 'ventilators']",automakers forge technological alliances to set up capacity for manufacturing ventilators
