headlines,headline_text
"['best', 'borosil', 'lunch', 'boxes']",best borosil lunch boxes
"['what', 'donald', 'trump', 'brings', 'to', 'elon', 'musks', 'table']",what donald trump brings to elon musks table
"['govt', 'takes', 'second', 'shot', 'at', 'hardselling', 'ev', 'policy']",govt takes second shot at hardselling ev policy
"['why', 'mega', 'social', 'media', 'stars', 'mrbeast', 'logan', 'paul', 'are', 'in', 'india', 'how', 'much', 'they', 'earn']",why mega social media stars mrbeast logan paul are in india how much they earn
"['an', 'imperative', 'for', 'india', 'path', 'to', 'deliver', 'sustainable', 'growth']",an imperative for india path to deliver sustainable growth
"['trumps', 'return', 'to', 'power', 'a', 'climate', 'dilemma', 'as', 'global', 'temperatures', 'soar', 'and', 'clean', 'energy', 'investments', 'surge']",trumps return to power a climate dilemma as global temperatures soar and clean energy investments surge
"['bollywood', 'meets', 'mrbeast', 'and', 'logan', 'paul', 'saif', 'ali', 'khan', 'with', 'son', 'jeh', 'on', 'shoulder', 'and', 'kareena', 'kapoor', 'light', 'up', 'the', 'crowd']",bollywood meets mrbeast and logan paul saif ali khan with son jeh on shoulder and kareena kapoor light up the crowd
"['elon', 'musk', 'moves', 'all', 'x', 'lawsuits', 'to', 'texas', 'court', 'wapo', 'reports']",elon musk moves all x lawsuits to texas court wapo reports
"['all', 'about', 'varun', 'chakravarthy', 'the', 'architect', 'turned', 'cricketer', 'who', 'claimed', 'five', 'wickets', 'in', 'india', 'vs', 'south', 'africa', 't20', 'match']",all about varun chakravarthy the architect turned cricketer who claimed five wickets in india vs south africa t20 match
"['violence', 'erupts', 'in', 'manipur', 'militants', 'attack', 'villages', 'security', 'personnel', 'injured']",violence erupts in manipur militants attack villages security personnel injured
"['marvels', 'thunderbolts', 'what', 'we', 'know', 'about', 'special', 'preview', 'trailer', 'cast', 'and', 'release', 'date']",marvels thunderbolts what we know about special preview trailer cast and release date
"['best', 'idli', 'makers', 'under', '1000']",best idli makers under 1000
"['abdullah', 'govt', 'relaxes', 'upper', 'age', 'limit', 'for', 'combined', 'competitive', 'exams']",abdullah govt relaxes upper age limit for combined competitive exams
"['maharashtra', 'assembly', 'elections', 'congress', 'fights', 'a', 'make', 'or', 'break', 'battle', 'in', 'vidarbha']",maharashtra assembly elections congress fights a make or break battle in vidarbha
"['can', 'india', 'become', 'the', 'next', 'global', 'hub', 'for', 'web3', 'development']",can india become the next global hub for web3 development
"['sita', 'geeta', 'kalpana', 'purnima', 'the', 'draped', 'jharkhand', 'pitch']",sita geeta kalpana purnima the draped jharkhand pitch
"['soldier', 'injured', 'in', 'attacks', 'by', 'militants', 'in', 'imphal', 'east']",soldier injured in attacks by militants in imphal east
"['loki', 'season', '3', 'studio', 'executive', 'reveals', 'if', 'the', 'third', 'installment', 'is', 'on', 'the', 'cards']",loki season 3 studio executive reveals if the third installment is on the cards
"['canada', 'arrests', 'nijjar', 'linked', 'arsh', 'dalla', 'inderjeet', 'gosal']",canada arrests nijjar linked arsh dalla inderjeet gosal
"['andor', 'season', '2', 'check', 'out', 'premiere', 'date', 'and', 'cast']",andor season 2 check out premiere date and cast
